custom_regions,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Asia,2020-04-20,4678110154,-0.04782297675622323,-0.04782297675622323,-0.04782297675622323,-0.04782297675622323,-0.07779891140840571,-0.07779891140840571,-0.08809479743228367,-0.5920299473804079,-0.01184059894760816,0.011601201813000318
Oceania,2020-04-20,43202462,-0.044304553290406216,-0.03492080789646927,-0.03492080789646927,-0.03492080789646927,-0.044304553290406216,-0.044304553290406216,-0.053051430368427084,-0.3085955488683416,-0.014695026136587696,0.004298366144040587
European Union,2020-04-20,447045744,0.3739341555365878,0.3739341555365878,0.3739341555365878,0.3739341555365878,0.3739341555365878,0.3739341555365878,0.3739341555365878,10.09622219948787,0.3739341555365878,0.5912786410511046
North America,2020-04-20,370982987,0.7859074844190771,0.7859074844190771,0.7859074844190771,0.7859074844190771,0.7859074844190771,0.7859074844190771,0.7859074844190771,1.5718149688381542,0.7859074844190771,0.6372259868617641
Latin America and Caribbean,2020-04-27,655805524,0.21355052718535047,0.21784591867817513,0.21493696289164876,0.21355052718535047,0.21234636563151582,0.21234636563151582,0.21160238930650693,10.181353193046148,0.2213337650662206,0.11005030814592529
Asia,2020-04-27,4678110154,-0.042940918653916096,-0.02714219829012344,-0.042940918653916096,-0.042940918653916096,-0.05716895149051744,-0.05716895149051744,-0.05716895149051744,-0.53516021828363,-0.0107032043656726,0.007530562308345337
Oceania,2020-04-27,43202462,-0.10311952118677373,-0.08701419667117473,-0.09840069554757531,-0.09840069554757531,-0.10311952118677373,-0.10311952118677373,-0.1050602894401108,-1.5308870006842212,-0.07289938098496292,0.007606048007171443
European Union,2020-04-27,447045744,0.1996899223622278,0.1996899223622278,0.1996899223622278,0.1996899223622278,0.1996899223622278,0.1996899223622278,0.1996899223622278,5.39162790378015,0.1996899223622278,0.4476691763337758
North America,2020-04-27,370982987,0.6051675828035117,0.6051675828035117,0.6051675828035117,0.6051675828035117,0.6051675828035117,0.6051675828035117,0.6051675828035117,1.2103351656070234,0.6051675828035117,0.5902464740249665
Latin America and Caribbean,2020-05-04,655805524,0.4099082438362458,0.4099082438362458,0.4099082438362458,0.4099082438362458,0.4074417268686611,0.4055641394915861,0.4016207087778449,18.823960555056672,0.4092165338055798,0.1650753097346585
Asia,2020-05-04,4678110154,0.022011509391367173,0.03160896268557503,0.022011509391367173,0.022011509391367173,0.00826572834104318,0.00826572834104318,5.685252754123208e-4,-0.15989998293905056,-0.003197999658781011,0.007658819228393911
Oceania,2020-05-04,43202462,-0.07725063933330989,-0.058920274770546247,-0.0655432741311104,-0.0655432741311104,-0.07725063933330989,-0.07725063933330989,-0.07873526679589518,-0.9621022118495864,-0.045814391040456495,0.004629365798643605
European Union,2020-05-04,447045744,0.12148096835701504,0.12148096835701504,0.12148096835701504,0.12148096835701504,0.12148096835701504,0.12148096835701504,0.12148096835701504,3.2799861456394064,0.12148096835701504,0.30604161170584815
North America,2020-05-04,370982987,0.5268582543721553,0.5268582543721553,0.5268582543721553,0.5268582543721553,0.5268582543721553,0.5268582543721553,0.5268582543721553,1.0537165087443106,0.5268582543721553,0.5534331955767018
Latin America and Caribbean,2020-05-11,655805524,0.4487535022757119,0.44904568668971956,0.4487535022757119,0.4487535022757119,0.44574458883573437,0.4446446240269749,0.439746442090991,20.605836801823823,0.4479529739526918,0.21624429012891327
Asia,2020-05-11,4678110154,0.026659859384826342,0.047595087374661435,0.026659859384826342,0.026659859384826342,0.017552541341050217,0.017552541341050217,0.004779163549826519,-0.18905400236056807,-0.003781080047211361,0.007429773745340499
Oceania,2020-05-11,43202462,-0.1163968626867229,-0.09548505389096511,-0.10741401934402352,-0.10741401934402352,-0.1163968626867229,-0.1163968626867229,-0.1217550983244305,-1.8442741584391154,-0.08782257897329121,6.619993092060355e-4
European Union,2020-05-11,447045744,0.08587579132362706,0.08587579132362706,0.08587579132362706,0.08587579132362706,0.08587579132362706,0.08587579132362706,0.08587579132362706,2.318646365737931,0.08587579132362706,0.2389017263521918
North America,2020-05-11,370982987,0.45032798326452483,0.45032798326452483,0.45032798326452483,0.45032798326452483,0.45032798326452483,0.45032798326452483,0.45032798326452483,0.9006559665290497,0.45032798326452483,0.4928991528120938
Latin America and Caribbean,2020-05-18,655805524,0.481246357608144,0.48142679219190343,0.481246357608144,0.481246357608144,0.4805695134699145,0.47742043871536327,0.4754241941040056,22.1246777527797,0.4809712554952109,0.2555858312654286
Asia,2020-05-18,4678110154,0.05409120486585525,0.060730451377279046,0.05409120486585525,0.05409120486585525,0.03371856423443713,0.03371856423443713,0.024796249242228133,-0.13119486273770398,-0.002623897254754079,0.00797024840642519
Oceania,2020-05-18,43202462,-0.11225865168248678,-0.0881919702288789,-0.10222862335621682,-0.10222862335621682,-0.11225865168248678,-0.11225865168248678,-0.1156448007554684,-1.7576124306884917,-0.08369583003278531,6.619993092060355e-4
European Union,2020-05-18,447045744,0.06004909586644975,0.06004909586644975,0.06004909586644975,0.06004909586644975,0.06004909586644975,0.06004909586644975,0.06004909586644975,1.6213255883941433,0.06004909586644975,0.1854083191987619
North America,2020-05-18,370982987,0.3390329296491096,0.3390329296491096,0.3390329296491096,0.3390329296491096,0.3390329296491096,0.3390329296491096,0.3390329296491096,0.6780658592982192,0.3390329296491096,0.41657678496183975
Latin America and Caribbean,2020-05-25,655805524,0.5040127811085213,0.5043473955221712,0.5040127811085213,0.5040127811085213,0.5036426199607583,0.5018280259561293,0.496592896206077,23.181929336057657,0.5039549855664708,0.3059489325070095
Asia,2020-05-25,4678110154,0.12468737337568746,0.12468737337568746,0.12468737337568746,0.12468737337568746,0.05475033336280919,0.05475033336280919,0.036776112141785285,-0.218308795076411,-0.00436617590152822,0.008159598372723568
Oceania,2020-05-25,43202462,-0.13562238306230656,-0.11455233613812674,-0.1243480492386827,-0.12758227266502797,-0.13562238306230656,-0.13562238306230656,-0.13784825300761824,-2.230085504098058,-0.10619454781419323,9.929989638090533e-4
European Union,2020-05-25,447045744,0.007044612791829459,0.007044612791829459,0.007044612791829459,0.007044612791829459,0.007044612791829459,0.007044612791829459,0.007044612791829459,0.1902045453793954,0.007044612791829459,0.05301515631921551
North America,2020-05-25,370982987,0.2798388405142329,0.2798388405142329,0.2798388405142329,0.2798388405142329,0.2798388405142329,0.2798388405142329,0.2798388405142329,0.5596776810284658,0.2798388405142329,0.3206155111366334
Latin America and Caribbean,2020-06-01,655805524,0.5186656981528308,0.5227948488001148,0.5186656981528308,0.5186656981528308,0.516869935267743,0.516869935267743,0.5127033236320617,23.482862724965567,0.5104970157601211,0.3100440489732746
Asia,2020-06-01,4678110154,0.18438459759252654,0.19982963548668864,0.18438459759252654,0.18438459759252654,0.13256641430954944,0.13256641430954944,0.11046078687103673,0.3911451038832921,0.007822902077665842,0.010685041256940014
Oceania,2020-06-01,43202462,-0.16743926054756303,-0.14242014420136884,-0.15600014287214664,-0.16194091208773248,-0.16743926054756303,-0.16743926054756303,-0.17135533855569468,-2.956916841298388,-0.14080556387135182,3.3099965460301774e-4
European Union,2020-06-01,447045744,0.04852120139721033,0.04852120139721033,0.04852120139721033,0.04852120139721033,0.04852120139721033,0.04852120139721033,0.04852120139721033,1.3100724377246786,0.04852120139721033,0.08267028709258889
North America,2020-06-01,370982987,0.22120696429984427,0.22120696429984427,0.22120696429984427,0.22120696429984427,0.22120696429984427,0.22120696429984427,0.22120696429984427,0.44241392859968853,0.22120696429984427,0.2790270810990047
Latin America and Caribbean,2020-06-08,655805524,0.5468744161673766,0.5544923446382185,0.5469952674073008,0.5468744161673766,0.5432676463820182,0.5432676463820182,0.5410327066793338,24.73230543104962,0.5376588137184699,0.38476132140661873
Asia,2020-06-08,4678110154,0.2313821609958245,0.2313821609958245,0.2313821609958245,0.2313821609958245,0.17322564346957428,0.17322564346957428,0.12101510882054646,0.4513189755394147,0.009026379510788295,0.013412082643319476
Oceania,2020-06-08,43202462,-0.14508976536992216,-0.12391722487026766,-0.136479031807841,-0.1384131703109388,-0.14508976536992216,-0.14508976536992216,-0.1497872628375625,-2.4894434829513576,-0.11854492775958844,0
European Union,2020-06-08,447045744,0.02635664315779383,0.02635664315779383,0.02635664315779383,0.02635664315779383,0.02635664315779383,0.02635664315779383,0.02635664315779383,0.7116293652604334,0.02635664315779383,0.05790414146074501
North America,2020-06-08,370982987,0.19288837651049584,0.19288837651049584,0.19288837651049584,0.19288837651049584,0.19288837651049584,0.19288837651049584,0.19288837651049584,0.3857767530209917,0.19288837651049584,0.22507770686530162
Latin America and Caribbean,2020-06-15,655805524,0.5493796009067979,0.55367122475260655,0.5501033002648235,0.5493796009067979,0.5447605151281754,0.5447605151281754,0.5443289636378648,24.742743339613554,0.5378857247742077,0.3705584828224167
Asia,2020-06-15,4678110154,0.21770743766592157,0.21770743766592157,0.21770743766592157,0.21770743766592157,0.2164161123551032,0.13479369225597546,0.098776080404483907,0.34513446068396125,0.0069026892136792245,0.016823011303551277
Oceania,2020-06-15,43202462,-0.18158344733205162,-0.15762007909846726,-0.17181502249433536,-0.17407607090821692,-0.18158344733205162,-0.18158344733205162,-0.18715431500949758,-3.2737043428995536,-0.15589068299521686,0
European Union,2020-06-15,447045744,-0.02641520153161576,-0.02641520153161576,-0.02641520153161576,-0.02641520153161576,-0.02641520153161576,-0.02641520153161576,-0.02641520153161576,-0.7132104413536255,-0.02641520153161576,0.0425334549208906
North America,2020-06-15,370982987,0.20208402345650658,0.20208402345650658,0.20208402345650658,0.20208402345650658,0.20208402345650658,0.20208402345650658,0.20208402345650658,0.40416804691301317,0.20208402345650658,0.19658206051373456
Latin America and Caribbean,2020-06-22,655805524,0.5471410707288664,0.5517118575663024,0.5474739975046347,0.5471410707288664,0.544443813923837,0.544443813923837,0.5443872539841298,24.591184907265163,0.5345909762448948,0.4177854409167801
Asia,2020-06-22,4678110154,0.25867333744325627,0.25867333744325627,0.25867333744325627,0.25867333744325627,0.20402196374200202,0.16089165578983333,0.12729040369440495,0.5747113321340849,0.011494226642681698,0.02410924417920408
Oceania,2020-06-22,43202462,-0.2022283981172916,-0.18093561095676122,-0.18942628666491726,-0.19613306032062994,-0.2022283981172916,-0.2022283981172916,-0.20911124722487343,-3.719928912230827,-0.17713947201099173,0
European Union,2020-06-22,447045744,0.11102231569672878,0.11102231569672878,0.11102231569672878,0.11102231569672878,0.11102231569672878,0.11102231569672878,0.11102231569672878,2.997602523811677,0.11102231569672878,0.07394545288412364
North America,2020-06-22,370982987,0.22488060215013303,0.22488060215013303,0.22488060215013303,0.22488060215013303,0.22488060215013303,0.22488060215013303,0.22488060215013303,0.44976120430026606,0.22488060215013303,0.1644663020625256
Latin America and Caribbean,2020-06-29,655805524,0.5699410203901083,0.570676409691436,0.5699410203901083,0.5699410203901083,0.5605257409042371,0.5605257409042371,0.5605257409042371,25.33878967024872,0.5508432537010591,0.4060005447590588
