continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Latin America and Caribbean,2020-09-21,655799753,2441.863169176937,2563.645298144296,2559.5705592076374,2494.6494514055435,2419.6359020143486,2355.880545313678,2342.885682220937,101699.33026328385,2259.9851169618632,2060.859
Asia,2020-09-21,4679006159,13362.715998939759,21273.50673250307,20143.019649025704,16204.050898396543,11877.009463648936,6389.731601892111,6212.764740344287,33866.048845366015,664.0401734385493,1819.2839999999999
Africa,2020-09-21,1371693397,1100.3415584595527,1491.2446011550144,1305.2531778893137,1100.3415584595527,-378.7610469345627,-1346.8087957499022,-1893.3481895075952,15639.906905614582,284.36194373844694,184.145
"Europe, United States, Canada, and Oceania",2020-09-21,1162303742,3164.1306632306373,3184.393791176691,3181.76993961904,3174.863272375841,3162.7064982231677,3158.2991799892816,3156.6943769112404,228232.1639687835,3169.8911662331043,1316.575
Latin America and Caribbean,2020-09-28,655799753,2245.4941597073616,2346.8068216459974,2331.655090600778,2280.5984189999044,2208.945868540159,2118.7349680248994,2114.716459373824,92831.22312042663,2062.916069342814,2093.857
Asia,2020-09-28,4679006159,13903.185582124763,20209.449084101445,18792.502727269853,15579.646544472216,11456.2872603036,6771.194329842271,6397.379914334292,38937.78027393735,763.4858877242618,1725.283
Africa,2020-09-28,1371693397,1001.9807553662486,1653.7923624931173,1595.5580222765784,1001.9807553662486,-362.094742924527,-1551.2767899559863,-1797.8707535025974,10889.478334186004,197.99051516701826,196.43
"Europe, United States, Canada, and Oceania",2020-09-28,1162303742,3237.583413432038,3255.0887995012654,3252.8107928868167,3245.4673315014634,3235.025804012192,3230.2703909600336,3229.954915512282,233315.91254021318,3240.4987852807385,1377.287
Latin America and Caribbean,2020-10-05,655799753,2462.7509383082574,2536.7723445603615,2526.8446883738966,2493.6396970252936,2414.5533805811915,2348.9486293551863,2336.755240732582,101627.40639019731,2258.3868086710513,2768.714
Asia,2020-10-05,4679006159,13356.069574403626,19187.25462670971,17338.422352596262,13356.069574403626,9912.026490907072,6077.082725389387,5586.18485406143,37574.198522785315,736.7489906428493,1738.002
Africa,2020-10-05,1371693397,1190.2478752070476,1652.014593203202,1511.8508675634741,1190.2478752070476,-411.2042199869728,-1838.931114509655,-1902.5803874602198,13013.82841099096,236.61506201801745,168.715
"Europe, United States, Canada, and Oceania",2020-10-05,1162303742,4942.295649235229,4964.056478529246,4962.714515757269,4952.460822480879,4942.295649235229,4936.144324863006,4934.949577582699,356488.5930932066,4951.230459627869,1462.286
Latin America and Caribbean,2020-10-12,655799753,2383.7303805538004,2442.8538792630193,2435.170258820641,2394.2502193543364,2319.015396166832,2265.3630676653947,2245.7651519721444,98479.44210448301,2188.432046766289,1834.003
Asia,2020-10-12,4679006159,11231.643147214858,17622.30497637757,15069.095969388667,12358.549047252047,9139.02137731177,5871.482363236518,5258.969790664387,44774.96137992816,877.9404192142775,1648.145
Africa,2020-10-12,1371693397,1589.4057890998856,1768.103218452762,1647.6221538250402,1589.4057890998856,-258.68617645484443,-1380.47774442323,-1661.4838787438673,17618.11412527668,320.3293477323033,237.573
"Europe, United States, Canada, and Oceania",2020-10-12,1162303742,5284.875029688931,5303.056417491204,5301.518233699615,5293.2852394740885,5282.579762515673,5277.841083639315,5276.822460495753,380793.05023606424,5288.792364389781,1629.142
Latin America and Caribbean,2020-10-19,655799753,2503.493993748073,2562.9213195999378,2550.0141803904626,2514.9145682851354,2447.1431730778563,2382.23268240477,2363.556234399864,104360.19210448302,2319.1153800996226,1684.142
