continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
"W. Europe, NA, and Aus/NZ",2020-05-04,1062311981,3950.470114730605,3950.5613365047575,3950.470114730605,3950.470114730605,3950.408164063009,3950.408164063009,3950.2065832516546,181715.61039378232,3950.3393563865725,4155.003
"W. Europe, NA, and Aus/NZ",2020-05-11,1062311981,3901.230947244893,3901.230947244893,3901.230947244893,3901.230947244893,3901.139811428052,3901.139811428052,3901.0282042115027,179457.4046794968,3901.2479278151477,3533.4300000000003
"W. Europe, NA, and Aus/NZ",2020-05-18,1062311981,3159.2472661719626,3159.2472661719626,3159.2472661719626,3159.2472661719626,3159.1676848036586,3159.1676848036586,3159.014551475962,145321.98753663886,3159.1736421008445,2971.576
"W. Europe, NA, and Aus/NZ",2020-05-25,1062311981,2623.421424564464,2623.487389062381,2623.421424564464,2623.421424564464,2623.3692580661573,2623.3692580661573,2623.3542130258634,120683.59896520984,2623.556499243692,2057.717
"W. Europe, NA, and Aus/NZ",2020-06-01,1062311981,2587.026094543322,2587.2487523559835,2587.083180806103,2587.026094543322,2586.9793256038606,2586.9793256038606,2586.9793256038606,119008.59835077057,2587.1434424080558,1977.432
"W. Europe, NA, and Aus/NZ",2020-06-08,1062311981,2487.7979408004344,2488.020143292737,2487.8060126782884,2487.7979408004344,2487.7031284774607,2487.7031284774607,2487.7031284774607,114442.24406505635,2487.874870979486,1812.145
"W. Europe, NA, and Aus/NZ",2020-06-15,1062311981,2185.923857720602,2186.04922952871,2185.951951598691,2185.923857720602,2185.8251562724136,2185.8251562724136,2185.8251562724136,100555.89549362735,2185.9977281223337,1528.574
"W. Europe, NA, and Aus/NZ",2020-06-22,1062311981,2816.5796999964086,2816.7722492697435,2816.623131954532,2816.5796999964086,2816.4821241333393,2816.4821241333393,2816.4821241333393,129564.80977934164,2816.626299550905,1728.14
"W. Europe, NA, and Aus/NZ",2020-06-29,1062311981,2813.5958057069115,2813.708847845536,2813.62285943292,2813.5958057069115,2813.554039341334,2813.554039341334,2813.554039341334,129427.59835077102,2813.6434424080658,1412.288
"W. Europe, NA, and Aus/NZ",2020-07-06,1062311981,3076.922849985166,3077.0035937596444,3076.9589678155617,3076.922849985166,3076.8843088507383,3076.8843088507383,3076.8843088507383,141540.22790530196,3076.9614762022165,1270.001
