continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
W. Europe,2020-05-04,530152257,1048.9172225153168,1049.0084442894693,1048.9172225153168,1048.9172225153168,1048.8552718477206,1048.8552718477206,1048.6536910363664,43000.245031022656,1048.7864641712843,1980.289
W. Europe,2020-05-11,530152257,1068.2266264581758,1068.2266264581758,1068.2266264581758,1068.2266264581758,1068.1354906413349,1068.1354906413349,1068.0238834247857,43797.987888165655,1068.2436070284307,1518.572
W. Europe,2020-05-18,530152257,635.4029453852515,635.4029453852515,635.4029453852515,635.4029453852515,635.3233640169474,635.3233640169474,635.1702306892508,26048.502173879482,635.3293213141337,1174.575
W. Europe,2020-05-25,530152257,278.89710377776095,278.96306827567804,278.89710377776095,278.89710377776095,278.844937279454,278.844937279454,278.82989223916013,11440.319316736548,279.03217845698896,539.145
W. Europe,2020-06-01,530152257,325.6646308994731,325.88728871213493,325.7217171622545,325.6646308994731,325.617861960012,325.617861960012,325.617861960012,13357.06112933249,325.78197876420705,580.146
W. Europe,2020-06-08,530152257,209.2764771565848,209.49867964888756,209.28454903443904,209.2764771565848,209.18166483361128,209.18166483361128,209.18166483361128,8583.489700761087,209.35340733563626,422.002
W. Europe,2020-06-15,530152257,-118.32046306610394,-118.19509125799614,-118.29236918801517,-118.32046306610394,-118.41916451429232,-118.41916451429232,-118.41916451429232,-4848.110299239257,-118.24659266437212,295.431
W. Europe,2020-06-22,530152257,442.4010934954244,442.5936427687595,442.4445254535477,442.4010934954244,442.30351763235547,442.30351763235547,442.30351763235547,18140.355415046764,442.4476930499211,403.141
W. Europe,2020-06-29,530152257,209.18005634877406,209.2930984873987,209.20711007478258,209.18005634877406,209.13828998319656,209.13828998319656,209.13828998319656,8578.335415047057,209.2276930499282,196.431
W. Europe,2020-07-06,530152257,-53.67289937297127,-53.59215559849316,-53.63678154257551,-53.67289937297127,-53.711440507399125,-53.711440507399125,-53.711440507399125,-2199.0051993927536,-53.634273155920816,163.858
W. Europe,2020-07-13,530152257,-85.24332898998907,-85.11931854814391,-85.2368619288553,-85.24332898998907,-85.28390013700043,-85.28390013700043,-85.30048077409874,-3493.4337708205253,-85.20570172732988,128.716
W. Europe,2020-07-20,530152257,-67.24581297281092,-67.20920982637641,-67.24581297281092,-67.24581297281092,-67.28877675693087,-67.28877675693087,-67.31027771351157,-2755.4337708210173,-67.20570172734189,117.288
W. Europe,2020-07-27,530152257,830.7432955266629,830.7958545146914,830.7432955266629,830.7432955266629,830.6599215138672,830.6599215138672,830.6599215138672,34061.980514893046,830.7800125583669,98
W. Europe,2020-08-03,530152257,611.5881443789077,611.647646272702,611.5881443789077,611.5881443789077,611.483453512781,611.483453512781,611.483453512781,25076.31848724375,611.6175240791158,113.858
W. Europe,2020-08-10,530152257,1614.1883784218603,1614.320515163134,1614.2083600783321,1614.1883784218603,1614.1349325861258,1614.1349325861258,1614.1349325861258,66182.91848724338,1614.2175240791069,127.999
W. Europe,2020-08-17,530152257,978.5597902472224,978.6791227818708,978.5968244879463,978.5597902472224,978.4960468142071,978.4960468142071,978.4960468142071,40122.14705867258,978.5889526505506,152.716
W. Europe,2020-08-24,530152257,660.0915780108672,660.2233283336625,660.153161393585,660.0915780108672,660.0480519717655,660.0480519717655,660.0480519717655,27065.287058671893,660.128952650534,154.144
W. Europe,2020-08-31,530152257,460.8410865285182,461.0348186000269,460.9623138188491,460.8410865285182,460.81963601560943,460.81963601560943,460.81963601560943,18896.095630100714,460.88038122196866,134
W. Europe,2020-09-07,530152257,1013.8828075843609,1014.130975437209,1013.9863161967822,1013.8828075843609,1013.8738833920287,1013.8738833920287,1013.8738833920287,41570.80112933227,1013.9219787642018,180.999
W. Europe,2020-09-14,530152257,1108.0036698822032,1108.2523611410238,1108.0935416052841,1108.0036698822032,1107.982151353372,1107.982151353372,1107.982151353372,45429.486843618484,1108.0362644784996,190.857
W. Europe,2020-09-21,530152257,668.1184125127911,668.2995172515577,668.2307347783357,668.1184125127911,668.0783684557339,668.0783684557339,668.0783684557339,27394.055415047278,668.1476930499337,319.859
W. Europe,2020-09-28,530152257,966.8806288488344,967.0887786301868,967.0014474734214,966.8889586333885,966.8806288488344,966.8806288488344,966.8806288488344,39644.38684361836,966.9362644784967,374.288
W. Europe,2020-10-05,530152257,928.5425455928208,928.6969430395371,928.6280102486659,928.5425455928208,928.4251051806219,928.4251051806219,928.4251051806219,38071.76162088411,928.5795517288807,438.858
W. Europe,2020-10-12,530152257,1579.6045769286598,1579.7550064618563,1579.6623509571932,1579.6045769286598,1579.4806000104593,1579.4806000104593,1579.4806000104593,64765.104478027,1579.6366945860245,580.001
W. Europe,2020-10-19,530152257,3039.738402678649,3039.886600165102,3039.8396418032685,3039.738402678649,3039.639060415812,3039.639060415812,3039.639060415812,124630.9616208841,3039.7795517288805,828.287
W. Europe,2020-10-26,530152257,4199.282487348918,4199.453487426707,4199.365136085691,4199.282487348918,4199.118394337692,4199.118394337692,4199.118394337692,172172.57019231273,4199.33098030031,1294.714
W. Europe,2020-11-02,530152257,5277.330962723321,5277.490367667539,5277.443250561803,5277.330962723321,5277.038115125251,5277.038115125251,5277.038115125251,216370.5525579041,5277.3305501927825,2046.856
W. Europe,2020-11-09,530152257,5653.567423780476,5653.631016790377,5653.579149130466,5653.567423780476,5653.235529399723,5653.235529399723,5653.235529399723,231784.2097007613,5653.273407335641,3161.43
W. Europe,2020-11-16,530152257,5568.897340088005,5569.063355965433,5568.922247913382,5568.897340088005,5568.60765207866,5568.60765207866,5568.60765207866,228323.8097007613,5568.873407335642,3619.855
W. Europe,2020-11-23,530152257,5420.104459938276,5420.265748145687,5420.136478275225,5420.104459938276,5419.915879604561,5419.915879604561,5419.915879604561,222223.59541504705,5420.087693049928,3927.8599999999997
W. Europe,2020-11-30,530152257,5175.476468791212,5175.607503860501,5175.495218254629,5175.476468791212,5175.460613654269,5175.460613654269,5175.455534496346,212196.1668436184,5175.516264478498,4124.285
W. Europe,2020-12-07,530152257,4834.306701437443,4834.495663308816,4834.306701437443,4834.306701437443,4834.2622261063825,4834.2622261063825,4834.2622261063825,198206.527243004,4834.305542512293,3938.427
W. Europe,2020-12-14,530152257,4216.089541654399,4216.1665220846635,4216.089541654399,4216.089541654399,4216.027099337306,4216.027099337306,4216.026908388413,172861.49867157542,4216.134113940864,3821.574
W. Europe,2020-12-21,530152257,3986.8831410684693,3987.00254054582,3986.9220115169537,3986.8831410684693,3986.8795141213263,3986.8795141213263,3986.8795141213263,163464.29867157544,3986.9341139408643,4039.714
W. Europe,2020-12-28,530152257,3995.421754683768,3995.5286301027495,3995.471105701976,3995.421754683768,3995.2866658553658,3995.2866658553658,3995.2866658553658,163813.48776303133,3995.450921049545,3358.427
W. Europe,2021-01-04,530152257,3760.0900312141207,3760.0900312141207,3760.0900312141207,3760.0900312141207,3759.7782724974086,3759.7782724974086,3759.7782724974086,154161.68594634067,3760.041120642455,3726
W. Europe,2021-01-11,530152257,3230.658094543668,3230.6653593735314,3230.658094543668,3230.658094543668,3230.3830528823523,3230.3830528823523,3230.3830528823523,132454.91927966397,3230.6077873088775,4368.429
