custom_regions,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Latin America and Caribbean,2020-10-19,655805524,633946.9849979285,643089.0965707188,643089.0965707188,634181.8003748776,627463.4388659203,617282.7329851692,617282.7329851692,28131930.701065794,611563.7108927346,428352.211
Asia,2020-10-19,4678110154,1649142.4164749505,2236533.570523574,2236533.570523574,1649142.4164749505,1067125.1346900898,650236.3507641673,650236.3507641673,632280.3885576769,12645.607771153542,225796.221
Oceania,2020-10-19,43202462,-13401.22114130534,-9676.470533293268,-9676.470533293268,-10341.051460608553,-13514.528563574053,-17544.910616791018,-17544.910616791018,-215303.5770344628,-10252.55128735537,955.0310000000001
European Union,2020-10-19,447045744,237537.65927179728,237537.65927179728,237537.65927179728,237537.65927179728,237537.65927179728,237537.65927179728,237537.65927179728,6413516.800338526,237537.65927179728,158041.184
North America,2020-10-19,370982987,348039.25638886425,348039.25638886425,348039.25638886425,348039.25638886425,348039.25638886425,348039.25638886425,348039.25638886425,696078.5127777285,348039.25638886425,230502.013
Latin America and Caribbean,2020-10-26,655805524,651303.2152137817,660508.4607908526,660508.4607908526,651344.1265265802,644152.4787815182,633874.8694003519,633874.8694003519,28875651.733044058,627731.5594140013,440332.228
Asia,2020-10-26,4678110154,1726119.9295910322,2339256.305863881,2339256.305863881,1726119.9295910322,1128724.761927597,704467.6292227776,704467.6292227776,1016791.9203638072,20335.838407276147,236125.218
Oceania,2020-10-26,43202462,-13766.295640736727,-9908.418220167056,-9908.418220167056,-10623.569073398727,-13872.674911950517,-17989.01844145342,-17989.01844145342,-220700.16315759756,-10509.531578933218,965.034
European Union,2020-10-26,447045744,265154.438086048,265154.438086048,265154.438086048,265154.438086048,265154.438086048,265154.438086048,265154.438086048,7159169.828323296,265154.438086048,165678.184
North America,2020-10-26,370982987,357263.90091098414,357263.90091098414,357263.90091098414,357263.90091098414,357263.90091098414,357263.90091098414,357263.90091098414,714527.8018219683,357263.90091098414,236567.016
Latin America and Caribbean,2020-11-02,655805524,669208.2313740888,678528.286487363,678528.286487363,669208.2313740888,661605.7276572457,651231.4166394528,651231.4166394528,29645414.60158146,644465.5348169883,451556.238
Asia,2020-11-02,4678110154,1812672.208978229,2449947.767599429,2449947.767599429,1812672.208978229,1201610.0167515106,770644.4999792568,770644.4999792568,1486935.6000193988,29738.71200038798,246188.229
Oceania,2020-11-02,43202462,-13946.103389433216,-9990.354472042642,-9990.354472042642,-10772.29679195828,-14061.675821677833,-18281.082714878758,-18281.082714878758,-223542.1692807323,-10644.865203844396,979.034
European Union,2020-11-02,447045744,299518.388513202,299518.388513202,299518.388513202,299518.388513202,299518.388513202,299518.388513202,299518.388513202,8086996.489856454,299518.388513202,177787.169
North America,2020-11-02,370982987,370709.2120997709,370709.2120997709,370709.2120997709,370709.2120997709,370709.2120997709,370709.2120997709,370709.2120997709,741418.4241995418,370709.2120997709,242920.013
Latin America and Caribbean,2020-11-09,655805524,687164.6542892343,696431.9923791725,696431.9923791725,687164.6542892343,678983.7556375341,668535.6562242549,668535.6562242549,30417433.0034522,661248.5435533087,462426.258
Asia,2020-11-09,4678110154,1901213.5964073958,2559784.2252027835,2559784.2252027835,1901213.5964073958,1276297.9671517757,834968.6942731809,834968.6942731809,2007347.2796749906,40146.94559349981,257201.23799999998
