custom_regions,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Latin America and Caribbean,2021-03-15,655799753,192.35714967009784,195.94603910037654,195.72285545962407,193.97869206168394,190.83784479627147,188.113625943311,187.62589093443333,8120.236387794044,180.44969750653428,122.12268750275055
Asia,2021-03-15,4678110154,63.44808483830743,85.17728875878636,74.90811135054882,64.3521980770341,49.01657090939222,20.78539325901648,15.91731855554486,114.5680227932006,2.2913604558640124,8.790372660386911
Oceania,2021-03-15,43198762,-15.523421279056356,-0.5230284204620358,-3.5409621599755887,-9.018150580536624,-17.30489128518467,-21.158843810016613,-21.574030156191498,-242.10814484629736,-11.528959278395115,2.22932083099974
European Union,2021-03-15,447199451,147.13176656430738,147.13181641542,147.1317799091301,147.13176656430738,147.1314848989734,147.13132479748188,147.13128242816444,3972.5581484180607,147.131783274743,129.25511171971453
North America,2021-03-15,370982987,186.74266416914202,186.74266416914202,186.74266416914202,186.74266416914202,186.74266416914202,186.74266416914202,186.74266416914202,373.48532833828403,186.74266416914202,150.33951300844964
Latin America and Caribbean,2021-03-22,655799753,197.91108313971552,201.48467389106204,201.4116444219231,199.58734761061234,196.4347614116965,193.48494287092805,193.0842145435039,8346.78073511166,185.48401633581472,126.31192543312837
Asia,2021-03-22,4678110154,64.72643415555115,86.91418627542384,76.47490606980676,65.25041453148556,49.92333384972839,21.2270604150873,16.185157178772656,117.20075334350258,2.3440150668700515,8.979914969313056
Oceania,2021-03-22,43198762,-15.180403039369615,-0.4359356163029147,-2.9659755725677983,-8.793875531423417,-16.870427881845163,-21.02466338640178,-21.633617235332178,-239.9245189520303,-11.424977092953824,2.2524765871762713
European Union,2021-03-22,447199451,150.18540461663522,150.18545446774783,150.18541796145794,150.18540461663522,150.18512295130128,150.18496284980975,150.1849204804923,4055.006375830913,150.18542132707086,132.75288390280244
North America,2021-03-22,370982987,187.52483814487204,187.52483814487204,187.52483814487204,187.52483814487204,187.52483814487204,187.52483814487204,187.52483814487204,375.04967628974407,187.52483814487204,152.3582036930443
Latin America and Caribbean,2021-03-29,655799753,203.56132083850994,207.2654751832378,207.08266282006986,205.309942272362,202.17698966914952,198.95768249195336,198.64789354103743,8575.426867301407,190.56504149558683,131.05773508883894
Asia,2021-03-29,4678110154,66.36847669481392,88.88969995345877,78.67566274033493,66.61032072155139,51.51287968813319,22.062735682613383,17.155781395014223,122.39543724792817,2.4479087449585633,9.148637033141567
Oceania,2021-03-29,43198762,-14.23084025396511,-0.22622700824526856,-2.1089167215001625,-8.014673562897428,-16.320075430600667,-20.768542052034608,-21.529717555907688,-235.37832535269794,-11.208491683461807,2.282567727288111
European Union,2021-03-29,447199451,154.1169596680159,154.11700951912852,154.11697301283866,154.1169596680159,154.11667800268197,154.11651790119043,154.116475531873,4161.1583622181915,154.11697637845154,136.6661235011221
North America,2021-03-29,370982987,187.97276498705355,187.97276498705355,187.97276498705355,187.97276498705355,187.97276498705355,187.97276498705355,187.97276498705355,375.9455299741071,187.97276498705355,154.27419532853136
