custom_regions,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
North America,2020-12-14,370982987,3574.6158841123515,3574.6158841123515,3574.6158841123515,3574.6158841123515,3574.6158841123515,3574.6158841123515,3574.6158841123515,7149.231768224703,3574.6158841123515,2679
Latin America and Caribbean,2020-12-21,655805524,3883.6316989383918,3910.36948086501,3910.36948086501,3883.6316989383918,3819.4367658192514,3739.7057103996863,3739.7057103996863,168789.01593403847,3669.3264333486627,2034.5729999999999
Asia,2020-12-21,4678110154,8721.145301340635,11466.349958755101,11466.349958755101,9096.016950818224,6439.545811202748,5193.404040229821,5193.404040229821,37114.543804466186,742.2908760893238,1449.715
Oceania,2020-12-21,43202462,-1.5401495921669084,15.775583760292154,15.775583760292154,7.678558709088894,-2.2902091308745787,-16.536736817389453,-16.536736817389453,77.46299623420286,3.6887141063906124,1.572
European Union,2020-12-21,447045744,3340.122687750108,3340.122687750108,3340.122687750108,3340.122687750108,3340.122687750108,3340.122687750108,3340.122687750108,90183.31256925291,3340.122687750108,3483.144
North America,2020-12-21,370982987,3694.9492174457228,3694.9492174457228,3694.9492174457228,3694.9492174457228,3694.9492174457228,3694.9492174457228,3694.9492174457228,7389.8984348914455,3694.9492174457228,2890.857
Latin America and Caribbean,2020-12-28,655805524,4506.944684704464,4535.208714118292,4535.208714118292,4506.944684704464,4405.132651238603,4315.157924667618,4315.157924667618,196176.20686501692,4264.700149239498,1889.5720000000001
Asia,2020-12-28,4678110154,7421.343826095007,11542.135204822514,11542.135204822514,8666.131445874646,5432.429230725919,3594.115342421804,3594.115342421804,35448.7795588802,708.975591177604,1356.715
Oceania,2020-12-28,43202462,-11.102738483097442,7.094335881289035,7.094335881289035,0.4132027071105868,-11.102738483097442,-21.40123178473641,-21.40123178473641,-90.45391387818665,-4.307329232294602,1.143
European Union,2020-12-28,447045744,3562.3266885526796,3562.3266885526796,3562.3266885526796,3562.3266885526796,3562.3266885526796,3562.3266885526796,3562.3266885526796,96182.82059092235,3562.3266885526796,2770.57
North America,2020-12-28,370982987,4093.4177166431373,4093.4177166431373,4093.4177166431373,4093.4177166431373,4093.4177166431373,4093.4177166431373,4093.4177166431373,8186.835433286275,4093.4177166431373,2454.143
Latin America and Caribbean,2021-01-04,655805524,5407.396486951448,5712.300196466864,5712.300196466864,5456.639314858849,5386.204912704499,5222.708673970958,5222.708673970958,227063.58391730743,4936.164867767553,2131.572
Asia,2021-01-04,4678110154,6402.326641743915,10459.696676410496,10459.696676410496,7554.1492274356,4549.49108008016,2228.5248990323435,2228.5248990323435,16281.931928615279,325.6386385723056,1216.855
Oceania,2021-01-04,43202462,-11.05806508765528,6.7266259341634225,6.7266259341634225,0.4673910412223635,-11.05806508765528,-25.780231545634972,-25.780231545634972,-88.01908503693939,-4.191385001759018,1.143
European Union,2021-01-04,447045744,2788.447912974431,2788.447912974431,2788.447912974431,2788.447912974431,2788.447912974431,2788.447912974431,2788.447912974431,75288.09365030963,2788.447912974431,3024.143
North America,2021-01-04,370982987,3652.29348074252,3652.29348074252,3652.29348074252,3652.29348074252,3652.29348074252,3652.29348074252,3652.29348074252,7304.58696148504,3652.29348074252,2857.857
Latin America and Caribbean,2021-01-11,655805524,6701.5263682512405,6975.587496530405,6975.587496530405,6751.651531490564,6684.493967828299,6528.506192454946,6528.506192454946,286094.8362981993,6219.4529630043335,2878.86
Asia,2021-01-11,4678110154,5907.86648180443,10727.186979979017,10727.186979979017,7345.055071693548,4035.3282222300804,22.14646770330064,22.14646770330064,17256.693833360343,345.1338766672069,1086.14
Oceania,2021-01-11,43202462,-30.944283244430515,-12.830724489899847,-12.830724489899847,-19.405471128539205,-30.944283244430515,-43.29020856120059,-43.29020856120059,-482.8690850387081,-22.993765954224195,0.429
