world,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
World,2020-03-09,7868803051,-1.0069729361490545,-0.5018676894769866,-0.6971404501258793,-1.0069729361490545,-2.152046639691397,-2.9231142081828643,-3.409986261092737,-348.1008405112911,-1.5609903161941303,0.049601076233620936
World,2020-03-16,7868803051,-0.8649473521352995,-0.32799156980380806,-0.46775748624222213,-0.8649473521352995,-2.244721957646334,-3.231267724372313,-3.7594228628128157,-312.28906078777925,-1.4003993757299518,0.08996323779002663
World,2020-03-23,7868803051,-0.4141749227195625,0.2552404327221748,-0.04433861942071311,-0.4141749227195625,-2.0386800137994623,-3.270112336153976,-3.7635991103513686,-184.08892405164704,-0.8255108701867582,0.2133244902840306
World,2020-03-30,7868803051,0.24119586590126688,0.7567681871913581,0.3692944518344436,0.24119586590126688,-1.6659916212935,-3.1947682452549375,-3.758248786240938,-5.501895271980239,-0.024672176107534822,0.5062667440245227
World,2020-04-06,7868803051,1.01334644093173,1.3950272398304657,1.090775908186046,1.01334644093173,-1.198062431254397,-3.18444085179822,-3.4909350202958955,191.72433650301568,0.8597503879058997,1.0142354495688852
World,2020-04-13,7868803051,1.6555976166096646,1.9305742135632171,1.8119713671088113,1.6555976166096646,-0.8304929209633797,-3.2070595258052608,-3.3532718633539593,366.3052663799006,1.6426245129143524,1.6326789114854414
World,2020-04-20,7868803051,2.1556187179917643,2.401481942338487,2.3078803399638756,2.1556187179917643,-0.6575717377272907,-3.2880599649813216,-3.4426514158644763,506.2436342855989,2.27015082639282,2.257463363216663
World,2020-04-27,7868803051,2.5078861743805696,2.674273942089918,2.623515411500924,2.5078861743805696,-0.49824279734922977,-3.5140737487408074,-3.742072874909447,611.4642359402686,2.7419920894182455,2.808996216672497
World,2020-05-04,7868803051,3.210972960802982,3.493167819015674,3.2829302927668995,3.210972960802982,-0.061021379394445074,-3.1600975514822793,-3.735451048422323,741.3150042642875,3.324282530333128,3.3115511509324724
World,2020-05-11,7868803051,3.970731543361781,4.371513960729171,4.059556600776795,3.970731543361781,0.4104342164717865,-2.753365380177197,-3.4769715280967954,869.6786247221278,3.899904146735999,3.7839741962045963
World,2020-05-18,7868803051,4.76244396614968,5.129909550968138,4.90252088778079,4.76244396614968,0.8754304521550091,-2.429940683107087,-3.2045784006396913,988.1715724533465,4.431262656741464,4.226939305053906
World,2020-05-25,7868803051,5.696733717326078,6.710446839717801,5.696733717326078,5.696733717326078,1.5117026676875374,-2.09897175818708,-2.968818863512847,1095.2521361047204,4.91144455652341,4.6139746241820125
World,2020-06-01,7868803051,7.33992824150268,7.983123177082473,7.33992824150268,7.33992824150268,2.5084250342963372,-1.3487011873568666,-1.7392482732701569,1234.9958287436205,5.538097886742694,5.011303821486382
World,2020-06-08,7868803051,8.898861589060955,9.464134801116009,8.943878915574716,8.898861589060955,3.759394800872103,-0.5243134869109618,-0.8923728358657074,1376.7055450881678,6.1735674667630835,5.4319019961451565
World,2020-06-15,7868803051,10.349479940364409,11.153321964383645,10.718259870686696,10.349479940364409,4.870405020146189,0.7930909173397529,-0.16642595099496646,1514.6257913604056,6.7920439074457635,5.844506324777756
World,2020-06-22,7868803051,12.089312138843399,12.882137221652567,12.661042764248158,12.089312138843399,6.434108011568387,2.0800565828491693,0.725668491547614,1671.4382113320228,7.495238615838669,6.317450046444173
World,2020-06-29,7868803051,13.974741670389154,14.705847054364044,14.279317293428257,13.974741670389154,7.934455667140277,2.9556946868025027,1.808141994161251,1828.4909241395073,8.19951087058075,6.743614112092485
World,2020-07-06,7868803051,15.856642310311848,16.67198662150704,16.201625391299494,15.856642310311848,9.633814132079598,4.285509579927783,2.962358328048398,2010.7873341555094,9.016983561235469,7.176628101376025
World,2020-07-13,7868803051,17.820483650855078,18.666517365647138,18.205432856404805,17.820483650855078,11.476337895015083,5.839963379482021,4.182836385911697,2204.3663510378833,9.885050901515172,7.650372542028438
World,2020-07-20,7868803051,19.982895030981812,20.696611601294016,20.234920963541388,19.982895030981812,13.004854339288086,7.4606308066717055,5.44882052895213,2402.3733044743726,10.772974459526337,8.162560211980072
World,2020-07-27,7868803051,22.159013047831735,23.04242482654301,22.812040502194684,22.159013047831735,14.614343970804004,9.282401202067089,6.814693927271154,2614.4730260588603,11.724094287259463,8.703061718045788
World,2020-08-03,7868803051,24.114858832608697,25.17524134663314,24.654797012614825,24.114858832608697,16.354884876415824,10.720835097777352,7.900892883488496,2795.836155322693,12.537381862433602,9.241645092484346
World,2020-08-10,7868803051,26.1071018340438,27.30422844850854,26.788060264207807,26.1071018340438,18.141060821570946,12.078937629358807,9.16479494357351,2989.904254624796,13.407642397420611,9.806585207415175
World,2020-08-17,7868803051,28.049281331020175,29.397356512609885,29.022198537813132,28.049281331020175,20.03264729069731,13.435833329193594,10.549333990278134,3163.2298591736144,14.184887260868226,10.344812034614996
World,2020-08-24,7868803051,29.848216441751433,31.326454680952125,30.88519030720612,29.848216441751433,21.78804407226251,14.663356101619277,11.763128042115275,3313.3331453915503,14.857996167675113,10.86715347248815
World,2020-08-31,7868803051,31.568889417701826,33.099222123153694,32.645423440845846,31.568889417701826,22.941026495505167,15.723936211564155,12.644201173023491,3446.8850002389795,15.456883409143405,11.371334575292066
