continent,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Americas,2021-06-07,1026788511,0.46399443910889226,0.48587140437523907,0.46886965746014075,0.46886965746014075,0.46399443910889226,0.46399443910889226,0.45773877754586884,17.270196799545992,0.35979576665720814,0.4206874106716607
Asia,2021-06-07,4679006159,0.7237779762622361,1.3912046111157674,1.3912046111157674,1.3912046111157674,0.7237779762622361,0.7237779762622361,0.3679479390482751,1.6720645518513857,0.032785579448066385,0.08666673781140453
Africa,2021-06-07,1371693397,0.3406977402867355,0.3406977402867355,0.3406977402867355,0.3406977402867355,0.27477521492192225,0.25566902163616234,0.11628474502119951,3.1737669735615732,0.057704854064755874,0.02024628831832162
Europe,2021-06-07,747993718,0.3267657132911974,0.3274749670438213,0.3267657132911974,0.3267657132911974,0.3260296231486245,0.32465933443567807,0.32331693598382305,15.527598234659383,0.31688975989100787,0.1502882942661291
Oceania,2021-06-07,43202462,-0.01651335723312306,0.04042520642693382,0.04042520642693382,0.04042520642693382,-0.01651335723312306,-0.01651335723312306,-0.02630706299299266,-0.04171328548730646,-0.001986346927966974,6.619993092060355e-4
Americas,2021-06-14,1026788511,0.473553450724838,0.48062476777223123,0.48062476777223123,0.48062476777223123,0.473553450724838,0.47110207127940695,0.46804691577763635,17.878918619796824,0.37247747124576724,0.44165414312860385
Asia,2021-06-14,4679006159,0.48400719687286486,0.7611420570064843,0.56606239662037094,0.48400719687286486,0.46565743423356737,0.46565743423356737,0.3433798726554271,1.5141894505314835,0.029689989226107518,0.0818122667489312
Africa,2021-06-14,1371693397,0.3352324837215921,0.3352324837215921,0.3352324837215921,0.3352324837215921,0.3009571353527035,0.24878900012700114,0.11944250502050682,2.9363961436719546,0.05338902079403553,0.025172534967010562
Europe,2021-06-14,747993718,0.36953449221560325,0.3704457136703982,0.36953449221560325,0.36953449221560325,0.36780981292130843,0.36780981292130843,0.36714195437360303,17.689755430744288,0.36101541695396505,0.13852335588732845
Oceania,2021-06-14,43202462,0.004288257038576002,0.03199137232356551,0.03199137232356551,0.03199137232356551,0.004288257038576002,0.004288257038576002,-0.008083490288128771,0.023699653247528336,0.0011285549165489682,3.3099965460301774e-4
Americas,2021-06-21,1026788511,0.46079401133318465,0.4652547564211995,0.4652547564211995,0.4652547564211995,0.46079401133318465,0.4594269753867172,0.45290734200677685,17.383537708224246,0.3621570355880052,0.4330564621987672
Asia,2021-06-21,4679006159,0.40076186829512384,0.6678657986663753,0.5113014409768976,0.4617351953974957,0.40076186829512384,0.40076186829512384,0.2801263193798639,1.4954594894621696,0.02932273508749352,0.06337736902303573
Africa,2021-06-21,1371693397,0.3591505617446303,0.41454277960959346,0.41454277960959346,0.41454277960959346,0.3591505617446303,0.28225456745522975,0.1973750785269104,4.053826199050014,0.07370593089181843,0.030744334041581743
Europe,2021-06-21,747993718,0.33455037603423754,0.33546438438495835,0.33455037603423754,0.33455037603423754,0.333719738837667,0.333719738837667,0.33317631871124764,15.964633990620047,0.3258088569514295,0.12171626286305255
Oceania,2021-06-21,43202462,-0.05528067909705088,0.005121594646844903,0.005121594646844903,0.005121594646844903,-0.05528067909705088,-0.05528067909705088,-0.06341977992199299,-1.2667823567823533,-0.06032296937058825,0.0036386815177338735
Americas,2021-06-28,1026788511,0.4788861550290608,0.4840898693038086,0.4840898693038086,0.4840898693038086,0.4788861550290608,0.4719118805216543,0.4656380405589797,18.425176610183904,0.383857846045498,0.3931953812054292
Asia,2021-06-28,4679006159,0.4299096683363143,0.6057754382928836,0.4512715954421593,0.4512715954421593,0.4299096683363143,0.4299096683363143,0.30968700258775134,1.5554205743978327,0.030498442635251623,0.05325312502970783
Africa,2021-06-28,1371693397,0.36027226264006695,0.4158430364909934,0.4158430364909934,0.4158430364909934,0.36027226264006695,0.30153752143034795,0.1727963689726771,4.9419047093320225,0.08985281289694587,0.03838860791716707
Europe,2021-06-28,747993718,0.30206087578824237,0.30302942836496766,0.30206087578824237,0.30206087578824237,0.3016015847957712,0.3016015847957712,0.29998225814066076,14.40268504387775,0.2939323478342397,0.13371021386037898
Oceania,2021-06-28,43202462,-0.05290427259751744,-0.020298367936010843,-0.027008170494766205,-0.027008170494766205,-0.05290427259751744,-0.05290427259751744,-0.053346732387051794,-1.306780077282643,-0.0622276227277449,0.0033076818631308557
Americas,2021-07-05,1026788511,0.3960355911202433,0.3965301986905547,0.3960355911202433,0.3960355911202433,0.3858726389125765,0.3858726389125765,0.3854848665170777,14.571579466634097,0.3035745722215437,0.3680128828399016
Asia,2021-07-05,4679006159,0.42460555415439377,0.5804004031429233,0.49376011708338713,0.4494865231098487,0.42460555415439377,0.42460555415439377,0.3197793313463558,2.031848844178049,0.03984017341525586,0.04974804308651477
