world,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
World,2020-06-15,7868684247,738438.8528159908,742503.1361905604,742503.1361905604,738438.8528159908,357220.418913624,248600.33505386583,248600.33505386583,120401397.70509346,537506.2397548815,460122.698
World,2020-06-22,7868684247,888283.2242687645,899731.977862437,899731.977862437,888283.2242687645,462396.9826935622,358243.8426650568,358243.8426650568,132997586.56949851,593739.2257566898,497280.714
World,2020-06-29,7868684247,1054059.751705681,1066657.1740123876,1066657.1740123876,1054059.751705681,566012.0884925554,486445.3916340611,486445.3916340611,145605748.23390362,650025.6617584982,530801.726
World,2020-07-06,7868684247,1211479.3485955226,1211479.3485955226,1211479.3485955226,1211479.3485955226,665374.730955203,636764.3997600818,636764.3997600818,160876020.41185707,718196.5196957905,564879.749
World,2020-07-13,7868684247,1378106.7675917684,1386015.1649906037,1386015.1649906037,1378106.7675917684,796215.2245860436,772219.3136176107,772219.3136176107,177036265.49647728,790340.4709664163,602188.762
World,2020-07-20,7868684247,1547523.2800041344,1603095.6075323934,1603095.6075323934,1547523.2800041344,949528.0405806608,892019.2389671108,892019.2389671108,193557407.43443075,864095.5689037087,642520.802
World,2020-07-27,7868684247,1721609.1913619272,1829713.6163544012,1829713.6163544012,1721609.1913619272,1093141.4701992525,1020322.1049617263,1020322.1049617263,211189793.21238422,942811.5768410009,685009.801
World,2020-08-03,7868684247,1870628.9399036483,2009831.7078649933,2009831.7078649933,1870628.9399036483,1225218.3203270412,1140615.8128694268,1140615.8128694268,225941796.1327033,1008668.7327352826,727335.868
World,2020-08-10,7868684247,2032206.7418111372,2188834.6960026985,2188834.6960026985,2032206.7418111372,1370866.558188863,1266960.0683873121,1266960.0683873121,241701528.0130224,1079024.6786295644,771922.893
World,2020-08-17,7868684247,2196430.388540286,2369196.0878374316,2369196.0878374316,2196430.388540286,1508292.2210563428,1380327.0033338768,1380327.0033338768,255820262.77334148,1142054.7445238458,814223.9
World,2020-08-24,7868684247,2349668.477409858,2550554.447869302,2550554.447869302,2349668.477409858,1650684.576133227,1481329.4180858294,1481329.4180858294,268100272.62699386,1196876.217084794,855361.927
World,2020-08-31,7868684247,2484433.0255108275,2722036.9070938434,2722036.9070938434,2484433.0255108275,1760477.1920710704,1570681.739427894,1570681.739427894,279071832.02731293,1245856.3929790757,895023.948
World,2020-09-07,7868684247,2628737.217705558,2903935.765008211,2903935.765008211,2628737.217705558,1875956.3188220772,1665158.8221860789,1665158.8221860789,289849228.2265707,1293969.7688686193,934669.981
World,2020-09-14,7868684247,2782369.0033127805,3097674.553317245,3097674.553317245,2782369.0033127805,2017931.2522093884,1759796.0417849424,1759796.0417849424,300329279.35916185,1340755.7114248297,971645.997
World,2020-09-21,7868684247,2925221.677472075,3284140.5413469537,3284140.5413469537,2925221.677472075,2151978.7178228633,1841696.8620608354,1841696.8620608354,310422568.47204286,1385815.0378216198,1009285.032
World,2020-09-28,7868684247,3063665.2969296006,3466028.1734643825,3466028.1734643825,3063665.2969296006,2279616.796443827,1920273.2938954039,1920273.2938954039,320335279.9849239,1430068.2142184102,1047044.04
World,2020-10-05,7868684247,3209345.9246732905,3631343.281016635,3631343.281016635,3209345.9246732905,2398758.660031024,2012167.8995120947,2012167.8995120947,333327704.26309305,1488070.1083173796,1089997.062
World,2020-10-12,7868684247,3351643.136059382,3800112.6366033214,3800112.6366033214,3351643.136059382,2517530.3173149936,2112023.3073455263,2112023.3073455263,347093566.94126225,1549524.852416349,1127355.11
World,2020-10-19,7868684247,3500671.4901373936,3984111.139343967,3984111.139343967,3500671.4901373936,2654470.6736194985,2241590.680869671,2241590.680869671,363639960.2860981,1623392.6798486523,1165648.127
World,2020-10-26,7868684247,3659347.2283562236,4172470.0352159743,4172470.0352159743,3659347.2283562236,2804503.8240600405,2374162.962191537,2374162.962191537,382406157.79093397,1707170.3472809552,1207867.171
World,2020-11-02,7868684247,3859485.02349071,4396913.953949218,4396913.953949218,3859485.02349071,2995656.0290715653,2545451.6074361084,2545451.6074361084,407051091.50463,1817192.372788527,1255302.209
World,2020-11-09,7868684247,4066474.4580972707,4625529.477568037,4625529.477568037,4066474.4580972707,3197096.793528608,2721767.377980117,2721767.377980117,432771444.7383261,1932015.3782960987,1313625.264
World,2020-11-16,7868684247,4271475.936408817,4843453.049040637,4843453.049040637,4271475.936408817,3384023.3301311536,2894707.074162926,2894707.074162926,458770150.0786888,2048081.0271370034,1377274.297
World,2020-11-23,7868684247,4474186.566270187,5070220.72876638,5070220.72876638,4474186.566270187,3562510.0642770017,3055142.368152538,3055142.368152538,484526114.08571815,2163063.009311242,1447599.321
World,2020-11-30,7868684247,4672516.117029936,5284443.74063637,5284443.74063637,4672516.117029936,3750879.5447629555,3227962.85661204,3227962.85661204,510764145.5060809,2280197.078152147,1520283.38
World,2020-12-07,7868684247,4878879.405752196,5507253.8789993245,5507253.8789993245,4878879.405752196,3946973.643000964,3395468.260975912,3395468.260975912,538474602.4963104,2403904.4754299573,1597334.368
World,2020-12-14,7868684247,5076171.957122549,5724855.902582031,5724855.902582031,5076171.957122549,4128960.268250828,3571978.8633817127,3571978.8633817127,565602479.5398732,2525011.069374434,1675609.3969999999
World,2020-12-21,7868684247,5274046.033636728,5943332.105090063,5943332.105090063,5274046.033636728,4314007.988770548,3750796.637534953,3750796.637534953,593682397.1952978,2650367.8446218655,1757998.417
World,2020-12-28,7868684247,5473970.491689721,6169524.7230796125,6169524.7230796125,5473970.491689721,4503876.50893131,3937436.8490330833,3937436.8490330833,623830899.6672069,2784959.3735143165,1831382.434
World,2021-01-04,7868684247,5655534.333105758,6381185.281549735,6381185.281549735,5655534.333105758,4668276.844168585,4115833.210078991,4115833.210078991,650756112.5902104,2905161.216920582,1911127.435
World,2021-01-11,7868684247,5840332.50934759,6606103.154226622,6606103.154226622,5840332.50934759,4845472.6898255935,4292018.45317286,4292018.45317286,679268309.5132105,3032447.810326833,2003802.444
World,2021-01-18,7868684247,6026713.399352636,6833412.840702585,6833412.840702585,6026713.399352636,5017103.580144728,4463453.349140606,4463453.349140606,708229764.5695441,3161740.02039975,2100908.46
World,2021-01-25,7868684247,6191806.944761893,7037367.883190252,7037367.883190252,6191806.944761893,5163377.885185775,4615971.094914335,4615971.094914335,732388584.9592109,3269591.897139334,2202955.517
World,2021-02-01,7868684247,6331003.803344964,7219691.842160153,7219691.842160153,6331003.803344964,5281147.9332545055,4739213.125467683,4739213.125467683,751333940.887965,3354169.378964129,2302932.52
World,2021-02-08,7868684247,6447793.799034265,7361362.825098094,7361362.825098094,6447793.799034265,5377815.006756032,4839311.760404733,4839311.760404733,766031398.1500523,3419783.0274555907,2392767.517
World,2021-02-15,7868684247,6562932.373607121,7492541.08797759,7492541.08797759,6562932.373607121,5480378.416295188,4927968.873498985,4927968.873498985,779715966.6754166,3480874.851229538,2473609.537
World,2021-02-22,7868684247,6670417.817431527,7614196.9392797435,7614196.9392797435,6670417.817431527,5570583.79961809,5011631.93797722,5011631.93797722,791205592.8007809,3532167.825003486,2543247.581
World,2021-03-01,7868684247,6787147.133442366,7748445.867017864,7748445.867017864,6787147.133442366,5669520.132570699,5112546.471377543,5112546.471377543,805062435.6501936,3594028.730581221,2611380.611
World,2021-03-08,7868684247,6909309.019629715,7890978.838049684,7890978.838049684,6909309.019629715,5777735.929472444,5218952.476874733,5218952.476874733,819236853.8876764,3657307.383427127,2675686.636
World,2021-03-15,7868684247,7041793.936011939,8045663.685077421,8045663.685077421,7041793.936011939,5893659.997882111,5328838.715184355,5328838.715184355,834120030.5251591,3723750.1362730316,2738452.675
World,2021-03-22,7868684247,7182913.560405315,8228537.789421604,8228537.789421604,7182913.560405315,6019651.544967566,5451974.20144691,5451974.20144691,850028207.7527275,3794768.7846103907,2806379.765
