continent,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Europe,2021-03-08,748121993,1397511.0273763645,1398236.2830729191,1398093.959353822,1397601.9151392218,1397443.1129503879,1397322.8769866058,1397285.476730006,68476478.27865048,1397479.1485438873,837572.309
Oceania,2021-03-08,43198762,-6874.735367648424,-391.1192061372045,-1777.9130036799802,-4066.1025629702144,-7450.160976472745,-9215.167342548395,-9351.971368653636,-106501.22062780212,-5071.486696562006,953.0360000000001
Americas,2021-03-15,1026782740,1954261.2259524039,1977797.1539716143,1976333.5162068235,1964895.2969512157,1944297.6283425335,1926432.207833639,1923233.6428501247,88180092.65153256,1876172.1840751609,1358614.299
Asia,2021-03-15,4679006159,2968194.449266654,3984709.6092978064,3504306.342663647,3010488.969235674,2293071.8623530176,972385.8488435677,744651.5159269014,5467995.131144278,107215.59080675054,411464.333
Africa,2021-03-15,1371693397,842536.0151822552,942856.7952136656,913658.9412953513,842536.0151822552,342417.249432187,-114791.88720696703,-245968.37199557706,14447862.663040891,262688.4120552889,108084.55
Europe,2021-03-15,748121993,1419320.3044221322,1420065.4437944512,1419920.1285891465,1419417.170334749,1419241.2621375218,1419116.9529539722,1419091.3054891794,69544779.71175331,1419281.2186072106,858963.315
Oceania,2021-03-15,43198762,-6705.925812596911,-225.94180254775418,-1529.6518159979137,-3895.729406087634,-7475.498800645667,-9140.35857944081,-9319.713940981394,-104587.72127476727,-4980.367679750823,963.039
Americas,2021-03-22,1026782740,1993585.6403066406,2017021.239627202,2016542.3125489717,2004578.5785664087,1983903.9260608067,1964559.023356499,1961931.0479750503,89868181.44437116,1912088.9669015142,1393576.31
Asia,2021-03-22,4679006159,3027996.651566992,4065963.201474969,3577602.3386043594,3052508.1374830375,2335490.844624364,993047.1380053707,757180.9148432257,5593600.674474758,109678.44459754428,420334.334
Africa,2021-03-22,1371693397,871560.8129368091,975617.6761412361,951769.7362719821,871560.8129368091,359312.6938188754,-110441.16945688991,-244839.66296409437,14700672.02400019,267284.94589091255,110161.597
Europe,2021-03-22,748121993,1446291.737793827,1447057.559752806,1446899.6715887191,1446402.0405453262,1446209.4052570853,1446075.0448223653,1446061.7884129677,70866048.54485616,1446245.8886705337,881001.331
Oceania,2021-03-22,43198762,-6557.746179618046,-188.31878935992933,-1281.2647285717005,-3798.845361395837,-7287.815989059934,-9082.394297592846,-9345.454821482126,-103644.42192173247,-4935.4486629396415,973.042
Americas,2021-03-29,1026782740,2032301.6175579473,2056593.4526014114,2055394.5695753025,2043769.072602054,2023223.1771685795,2002110.968652216,2000079.373477288,91512386.33720976,1947072.0497278674,1431807.321
Asia,2021-03-29,4679006159,3104832.623416015,4158399.3205275508,3680575.572959941,3116145.4601321523,2409870.9629800343,1032160.360636746,802607.1979471765,5842464.037805238,114558.118388338,428236.33999999997
Africa,2021-03-29,1371693397,903584.3511034927,1006218.8734056787,984762.4411684244,903584.3511034927,376890.3223302477,-94228.35836768741,-240349.66302703184,14956792.38495949,271941.6797265362,112223.601
Europe,2021-03-29,748121993,1475709.7632396298,1476498.9061351968,1476328.1585082465,1475836.0085360615,1475622.8101541968,1475481.1561446937,1475480.1504373937,72307261.537959,1475658.3987338569,905082.311
Oceania,2021-03-29,43198762,-6147.546811910584,-97.72726687159394,-911.0259152990582,-3462.2397575129808,-7050.070543485657,-8971.753051928346,-9300.57144624878,-101680.52256869765,-4841.929646128459,986.041
Americas,2021-04-05,1026782740,2077307.1024737481,2102743.770443235,2101441.9202360874,2089260.721878959,2068410.3996814871,2046452.8903854978,2044988.9760273965,93415971.43391931,1987573.8602961556,1468154.331
Asia,2021-04-05,4679006159,3222663.4128136523,4268287.527053331,3850765.9894235744,3249488.035614008,2534031.792447478,1086077.4701951302,861058.5460457661,6263983.810167977,122823.21196407797,438775.344
Africa,2021-04-05,1371693397,941574.338491066,1031698.9944199568,1003128.3807032456,941574.338491066,399448.7689742116,-70974.90018497828,-232079.92785884393,15351479.651295133,279117.8118417297,114079.616
Europe,2021-04-05,748121993,1505256.060543987,1505881.142093293,1505761.119117971,1505346.3480072883,1505086.3045959538,1504891.1204616302,1504827.9779687168,73728422.51439571,1504661.6839672592,928683.315
