continent,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Africa,2021-01-25,1371693397,3856.7699908567215,4704.044881037072,4704.044881037072,4293.489313068849,3349.015688889688,1999.7216202405464,1999.7216202405464,80337.04876489137,1460.6736139071159,903.288
Europe,2021-01-25,747993718,5353.239385421062,5354.132943060628,5354.132943060628,5353.495807010529,5353.146091787085,5352.878581088505,5352.878581088505,262268.0836368513,5352.4098701398225,5594.86
Oceania,2021-01-25,43202462,-28.535090219691156,-10.769550299536245,-10.769550299536245,-20.212353886901518,-29.284240476066977,-38.00117235497572,-38.00117235497572,-457.7190850387045,-21.796146906604978,0.286
Americas,2021-02-01,1026788511,7753.145796590864,7981.703157182941,7981.703157182941,7785.716917061416,7671.5919998593845,7592.398871595558,7592.398871595558,347438.84973524674,7238.309369484306,7032.714
Asia,2021-02-01,4679006159,5207.0277698864065,7813.98050821387,7813.98050821387,6673.367119402787,3394.434714363561,-954.1081117303492,-954.1081117303492,10349.998910525865,202.9411551083503,1167.001
Africa,2021-02-01,1371693397,3210.02064994919,4200.677645537669,4200.677645537669,3504.495703635359,2456.7850544771873,1664.03281119881,1664.03281119881,50692.49813985831,921.6817843610602,789.144
Europe,2021-02-01,747993718,3713.4669797046054,3713.9585601360354,3713.9585601360354,3713.4669797046054,3712.769994443388,3712.059089229253,3712.059089229253,181864.6113263976,3711.522680130563,5293.141
Oceania,2021-02-01,43202462,1.604315736191521,18.547721999804242,18.547721999804242,10.532652848833392,1.604315736191521,-8.243984752923964,-8.243984752923964,168.89070361535295,8.04241445787395,0.429
Americas,2021-02-08,1026788511,6108.375888425298,6288.18890569284,6288.18890569284,6152.431522391191,6048.586731144599,5922.645229488859,5922.645229488859,270676.33544953086,5639.090321865226,6534.1410000000005
Asia,2021-02-08,4679006159,4621.425558908986,7349.261051123564,7349.261051123564,6004.144459023533,2922.9155850924158,-880.7232135533158,-880.7232135533158,5132.456053383093,100.63639320359005,958.142
Africa,2021-02-08,1371693397,2941.9015120802133,3721.7015366683136,3721.7015366683136,3150.6172621473997,1930.8343342922537,1050.138208624429,1050.138208624429,33914.879092239265,616.6341653134411,579.431
Europe,2021-02-08,747993718,3028.062517831988,3028.865883020751,3028.865883020751,3028.2659710441944,3027.7337730337404,3027.229854059746,3027.229854059746,148314.66132639808,3026.829822987716,4761.428
Oceania,2021-02-08,43202462,-15.480378774951332,1.1274829620957316,1.1274829620957316,-7.4340181735325475,-16.056842013602243,-27.652519143808505,-27.652519143808505,-206.05929638464366,-9.812347446887793,0.429
Americas,2021-02-15,1026788511,5676.171810915958,5853.716884096459,5853.716884096459,5708.820932459767,5591.998148558839,5508.11724281456,5508.11724281456,251146.16402096045,5232.211750436676,6075.285
Asia,2021-02-15,4679006159,5048.392198660824,9122.361558236593,9122.361558236593,6824.57621921338,3773.0778811816263,-435.93880897429676,-435.93880897429676,13916.963196240204,272.88163129882753,856.145
Africa,2021-02-15,1371693397,3084.759592127708,3643.5038394004578,3643.5038394004578,3109.316119588082,1751.0565086681065,911.8609483907695,911.8609483907695,31811.98250224725,578.3996818590409,487.142
Europe,2021-02-15,747993718,2668.2343487685835,2668.9509712228296,2668.9509712228296,2668.4283466460147,2667.8418960313625,2667.222960323142,2667.222960323142,130692.16132639778,2667.1869658448527,4130.1449999999995
Oceania,2021-02-15,43202462,-29.190154350670614,-12.606604505572959,-12.606604505572959,-22.203915070311364,-30.62746085275816,-44.75863386894121,-44.75863386894121,-488.8092963846482,-23.276633161173724,0.143
Americas,2021-02-22,1026788511,5132.067783390088,5299.743260063519,5299.743260063519,5157.024630431709,5093.936099091981,4976.142367415839,4976.142367415839,224549.8211638181,4678.12127424621,5179.1449999999995
Asia,2021-02-22,4679006159,5725.419203583511,9658.516425444901,9658.516425444901,7554.887324635031,3680.405585727333,-319.5322936567784,-319.5322936567784,7669.584624811637,150.38401225120856,860.001
Africa,2021-02-22,1371693397,2483.474416628847,3250.0348975775214,3250.0348975775214,2676.641170258099,1297.283827291047,413.01552688019365,413.01552688019365,26389.244407009206,479.80444376380376,389.427
Europe,2021-02-22,747993718,2028.1983835575832,2029.49537672759,2029.49537672759,2028.727273115747,2027.9446372172608,2027.5131213382465,2027.5131213382465,99341.49465973118,2027.3774420353302,3519.147
Oceania,2021-02-22,43202462,-14.096383673489363,1.6170633312796445,1.6170633312796445,-3.9894126634123777,-14.096383673489363,-25.951381606378806,-25.951381606378806,-170.50929638464694,-8.119490304030807,0.572
Americas,2021-03-01,1026788511,6114.307818452749,6323.359634737723,6323.359634737723,6177.1982149017695,6096.166784455082,5958.8039070639325,5958.8039070639325,271137.43315061834,5648.696523971215,5295.001
Asia,2021-03-01,4679006159,5849.193624676797,11009.007129935155,11009.007129935155,7876.36997334166,3764.149623773276,-171.8531588225576,-171.8531588225576,27187.45616548442,533.0873757938122,960.147
Africa,2021-03-01,1371693397,2783.3663346844546,3296.25298011895,3296.25298011895,2783.3663346844546,1654.6682869690924,1111.6625394663467,1111.6625394663467,39300.376020820004,714.5522912876364,335.714
Europe,2021-03-01,747993718,1949.266040796204,1950.868567912803,1950.868567912803,1950.1193593769142,1948.985355948258,1948.2073699675857,1948.2073699675857,95517.02582331467,1949.327057618667,3141.714
Oceania,2021-03-01,43202462,-20.517245633311394,-0.09741820865359464,-0.09741820865359464,-6.0183300609389825,-20.517245633311394,-24.69470824086901,-24.69470824086901,-176.211488892253,-8.391023280583475,0.714
Americas,2021-03-08,1026788511,5716.093589549283,5935.482499079329,5935.482499079329,5810.929530458072,5716.093589549283,5626.989889346504,5626.989889346504,252603.99727521435,5262.583276566966,4949.571
