continent,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Europe,2020-11-09,747993718,93.23007730746293,93.23642087152308,93.23007730746293,93.23007730746293,93.22853431159258,93.22853431159258,93.22630870481191,4568.544428209458,93.23560057570322,39.64729607528602
Oceania,2020-11-09,43202462,-32.26525254017072,-28.51309485605553,-28.863597585046552,-28.863597585046552,-32.26525254017072,-32.26525254017072,-32.26525254017072,-518.6742723224132,-24.698774872495864,2.2916078254984633
Americas,2020-11-16,1026788511,104.48461275736277,104.48461275736277,104.48461275736277,104.48461275736277,102.95208072341849,102.95208072341849,102.95208072341849,4887.4141620584005,101.82112837621668,71.4631376509432
Asia,2020-11-16,4679006159,44.41227723341081,44.41227723341081,44.41227723341081,44.41227723341081,41.75721343642557,31.56142031754967,22.652893777655976,54.13959008727195,1.0615605899465088,5.730346400255722
Africa,2020-11-16,1371693397,31.313743871124984,31.313743871124984,31.313743871124984,31.313743871124984,27.822862285854214,11.274968279417752,5.054008200736157,664.2203195219155,12.076733082216645,3.4730404115228093
Europe,2020-11-16,747993718,102.2376426287825,102.24436572584516,102.2376426287825,102.2376426287825,102.23571967063465,102.23571967063465,102.23401778225178,5009.913338143125,102.2431293498597,43.67700625528515
Oceania,2020-11-16,43202462,-32.816360182833286,-29.0755115103719,-29.2215232061946,-29.2215232061946,-32.816360182833286,-32.816360182833286,-32.816360182833286,-527.7928871900908,-25.13299462809956,2.307810605793716
Americas,2020-11-23,1026788511,107.97673794668873,107.97673794668873,107.97673794668873,107.97673794668873,106.38451249279899,106.38451249279899,106.38451249279899,5049.243507630117,105.19257307562744,73.68764569279448
Asia,2020-11-23,4679006159,46.29222033122567,46.29222033122567,46.29222033122567,46.29222033122567,43.59453492734747,33.08435908544554,23.7278937872976,63.19247974501343,1.239068230294381,5.989482648167637
Africa,2020-11-23,1371693397,32.479496186367555,32.479496186367555,32.479496186367555,32.479496186367555,28.855029031184387,11.91816943809567,5.730181580199381,684.4486559999021,12.444521018180037,3.6440709789317443
Europe,2020-11-23,747993718,111.10071146071442,111.1077873857197,111.10071146071442,111.10071146071442,111.09851237169471,111.09851237169471,111.09710316147537,5444.202736748596,111.10617830099176,48.090815650406306
Oceania,2020-11-23,43202462,-33.31944367416643,-29.516055875770977,-29.516055875770977,-29.516055875770977,-33.31944367416643,-33.31944367416643,-33.31944367416643,-535.6894883679005,-25.509023255614306,2.3355821712197793
Americas,2020-11-30,1026788511,111.85328331821147,111.85328331821147,111.85328331821147,111.85328331821147,110.18761612979452,110.18761612979452,110.18761612979452,5228.810020890108,108.93354210187724,76.02756299247295
Asia,2020-11-30,4679006159,47.936416765915695,47.936416765915695,47.936416765915695,47.936416765915695,45.48949421899969,34.50019131499256,24.828535735188584,70.71406344663468,1.3865502636595033,6.245135805986016
Africa,2020-11-30,1371693397,33.83927833008797,33.83927833008797,33.83927833008797,33.83927833008797,29.99090462545975,12.678469035220688,6.514748915747504,709.8815083089144,12.906936514707535,3.7902419092857964
Europe,2020-11-30,747993718,119.733497950399,119.74082997891314,119.733497950399,119.733497950399,119.73135728365484,119.73135728365484,119.72990728337311,5867.212869503334,119.73903815312929,52.734438472917766
Oceania,2020-11-30,43202462,-33.31084212889935,-29.308461834343984,-29.308461834343984,-29.308461834343984,-33.31084212889935,-33.31084212889935,-33.31084212889935,-533.241262438403,-25.392441068495387,2.354101949097253
