iso3c,date,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,demography_adjusted_ifr_percent,aged_65_older_pct,implied_infections_per_100_persons,implied_infections_per_100_persons_top_95,implied_infections_per_100_persons_bot_95,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65_top_95,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65_bot_95
BEL,2021-12-14,194.91591125808358,204.3679657500835,191.13643593308362,0.892410619549519,18.571,21.841505130953667,22.90066492633701,21.41799209309809,1049.5714353458811,1100.4682879224786,1029.2199447153282
BEN,2021-12-14,101.43973854900005,162.25884880899977,0,0.161431671398562,3.244,62.83756940021601,100.51240094541023,-25.983010138352515,3126.9956396115917,5001.814081658439,0
BES,2021-12-14,331.2069712189998,506.1060370830001,0,NA,NA,NA,NA,NA,NA,NA,NA
BFA,2021-12-14,183.4733648060003,213.7694149849999,0,0.125456773217742,2.409,146.24428805255897,170.39288473806275,-22.793415049316856,7616.162922623508,8873.782274180156,0
BGD,2021-12-14,212.2531958730003,359.86910919099944,112.38710245199997,0.27477516460663,5.098,77.24613546383037,130.96857196180395,40.9014776182171,4163.460099509618,7059.025288171822,2204.533198352294
BGR,2021-12-14,859.8294468940353,865.371974366035,825.6394853080352,0.864155247708972,20.801,99.49941855628312,100.14079954502259,95.5429579924384,4133.596687149827,4160.242172809169,3969.229774087954
BHR,2021-12-14,204.48354650299964,455.58695410800004,110.85384417199985,0.187141026010227,2.372,109.26708635861861,243.44579263079535,59.23545816508553,8620.722871121403,19206.869903372684,4673.433565430011
BHS,2021-12-14,207.89463429700012,362.4041371009996,112.780884267,0.365860581520744,8.996,56.823458114252375,99.05525640248608,30.826191714399112,2310.96747773455,4028.503080269004,1253.6781265784794
BIH,2021-12-14,658.5648728463157,686.9543498633159,582.3916155903161,0.728285440653928,16.569,90.42675249075279,94.32487751595022,79.96749393580987,3974.6808669582692,4146.021786850841,3514.947284629827
BLR,2021-12-14,636.3164141637998,650.8505226528002,452.88283662579977,0.697210467849881,14.799,91.26604425864808,93.35065273187168,64.95640233607503,4299.725752846813,4397.935824398948,3060.225938413405
BLZ,2021-12-14,194.6359394040105,327.05008987401067,134.50009157301054,0.26431422562988,3.853,73.63808699292628,123.73533399294969,50.88643687356859,5051.542678536477,8488.193352556726,3490.7887768754354
BMU,2021-12-14,114.65778580616153,400.1398189771613,32.79842269216147,NA,NA,NA,NA,NA,NA,NA,NA
BOL,2021-12-14,411.65580105347084,434.7417517554708,406.30606363147086,0.35322784963131,6.704,116.54115084162996,123.07686163739436,115.0266220671905,6140.450493041032,6484.811332868,6060.651307152011
BRA,2021-12-14,319.70549362221146,335.5578258972115,308.92094445621154,0.441178544462559,8.552,72.46623790639563,76.05941633131457,70.02175158643246,3738.371066676935,3923.735101697983,3612.265487093213
BRB,2021-12-14,124.45571447700001,164.82294510599982,34.65316569699958,0.772764161277044,14.952,16.105264803084125,21.329009983281185,4.484313252795385,832.368341873997,1102.3471449036908,231.76274543204644
BRN,2021-12-14,53.307943380195745,151.97729577919606,7.932962589195661,0.28506389622978,4.591,18.700348969210076,53.31341421668232,2.782871733010054,1161.14013025911,3310.3309906163377,172.79378325409849
BTN,2021-12-14,90.66552881,257.2195164270001,0,0.303520546613164,4.885,29.871298606203727,84.74533908731574,-9.609667257608576,1855.9985426816786,5265.496753879224,0
BWA,2021-12-14,362.05442134900017,457.3180469120003,172.36827240699995,0.208656519024915,3.941,173.51694691397034,219.17266186990946,82.60862071911494,9186.866819309824,11604.11182217712,4373.719167901547
CAF,2021-12-14,90.18001092600014,155.49984244499987,0,0.138493061000706,3.655,65.11518358709714,112.27987981593328,-41.824620322100024,2467.30536049248,4254.441653761966,0
CAN,2021-12-14,50.469747295654756,71.72224189365477,44.87635289965479,0.800368331977616,16.984,6.305815120264685,8.96115438706046,5.606962582936109,297.16054695981364,422.2929927794086,264.2272309211893
CHE,2021-12-14,139.80774632943428,146.39699851243424,133.28629405243422,0.883401324633336,18.436,15.826073884082392,16.57196954885682,15.087853089619935,758.3409976645383,794.0822223499362,722.9675312021817
CHL,2021-12-14,189.86932430438836,194.68981873238835,186.6678730683884,0.560182856455797,11.087,33.894169040742604,34.75469063158504,33.32266793193411,1712.540130823382,1756.0189296688766,1683.6644093838586
CHN,2021-12-14,67.60148268845847,182.6657201824585,4.183098203458706,0.497013631102855,10.641,13.601534939485113,36.75265802612495,0.8416465749996765,635.2925729579783,1716.621747791171,39.31113808343864
CIV,2021-12-14,121.62764474700006,132.40315360899976,0,0.141656545931055,2.933,85.8609420041887,93.46772698625665,-25.992730616854722,4146.868215035802,4514.256856767806,0
CMR,2021-12-14,155.48810432999997,210.8369870299999,0,0.137183038387231,3.165,113.34353441793485,153.69027359990633,-3.0388816496632125,4912.736313744075,6661.516177883093,0
COD,2021-12-14,195.03960042100002,217.980875448,0,0.14707991230584,3.02,132.60791182376556,148.20574205587477,-35.912423986332975,6458.26491460265,7217.909783046358,0
