location,official_covid_deaths_absolute,estimate_absolute,estimate_top_95_absolute,estimate_bot_95_absolute,difference_pct,vaccinated_per_100,official_covid_deaths_per_100k,estimate_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k
Oceania,3449,5944.991,20247.885,-3428.699,72.4,60.34430300411703,7.98,13.762,46.871,-7.937
Oman,4113,4554.014,5763.498,4112.579,10.7,NA,78.742,87.185,110.34,78.734
Pakistan,28843,848493.508,992585.787,334007.369,2841.8,38.07146848612017,12.808,376.773,440.758,148.316
Palau,NA,33.389,46.799,-16.24,NA,NA,NA,183.721,257.503,-89.356
Palestinian Territories,4846,16585.919,30279.133,10293.535,242.3,NA,92.786,317.57,579.754,197.09
Panama,7391,8091.538,9553.374,7220.112,9.5,68.86901377881007,168.683,184.672,218.035,164.783
Papua New Guinea,587,5105.574,13664.673,-2174.086,769.8,NA,6.437,55.988,149.848,-23.841
Paraguay,16516,18952.457,21851.02,18263.416,14.8,NA,228.765,262.512,302.661,252.968
Peru,201848,208309.742,210656.703,207640.433,3.2,70.66818767655248,605.071,624.441,631.476,622.434
Philippines,50351,157710.883,247047.522,134666.953,213.2,NA,45.342,142.022,222.471,121.27
Pitcairn,NA,0.095,1,-1,NA,NA,NA,201.312,449.708,-31.924
Poland,89045,152906.083,157577.807,147158.395,71.7,56.14767309574834,235.587,404.546,416.906,389.339
Portugal,18687,24276.2,25171.154,23741.056,29.9,89.04376046120727,183.784,238.753,247.555,233.49
Qatar,613,950.219,1394.47,864.925,55,NA,20.918,32.425,47.584,29.514
Romania,57847,111065.686,115015.559,104425.775,92,NA,302.424,580.651,601.301,545.938
Russia,286023,1070802.992,1081717.191,1037798.757,274.4,48.33190441292082,196.024,733.869,741.349,711.25
Rwanda,1344,25441.451,29258.172,1779.546,1793,NA,10.123,191.627,220.375,13.404
Saint Kitts and Nevis,28,53.803,148.725,1.759,92.2,NA,52.291,100.481,277.752,3.284
Saint Lucia,283,524.224,836.018,184.564,85.2,NA,153.47,284.285,453.37,100.088
Saint Vincent and the Grenadines,77,142.789,325.4,57.605,85.4,NA,69.202,128.328,292.444,51.771
Samoa,NA,496.178,597.405,-53.444,NA,NA,NA,247.911,298.488,-26.703
San Marino,94,128.669,134.159,124.447,36.9,NA,276.389,378.328,394.469,365.912
São Tomé and Príncipe,57,269.228,435.082,-108.677,372.3,NA,25.519,120.533,194.786,-48.655
Saudi Arabia,8856,101398.788,260708.559,21697.242,1045,70.21877620917311,25.059,286.918,737.701,61.395
Senegal,1886,19263.056,29055.245,-2526.75,921.4,NA,10.967,112.019,168.962,-14.694
Serbia,12241,48018.974,49077.832,45080.399,292.3,47.90761090624862,178.14,698.809,714.218,656.044
Seychelles,129,-16.672,55.508,-31.208,-112.9,NA,130.422,-16.856,56.12,-31.552
Sierra Leone,121,6405.022,9026.346,-7138.071,5193.4,NA,1.486,78.673,110.87,-87.677
Singapore,804,1296.313,2609.512,626.841,61.2,NA,14.743,23.77,47.849,11.494
Sint Maarten,NA,107.261,195.346,-19.594,NA,NA,NA,247.026,449.888,-45.125
Slovakia,15516,24270.003,24921.929,22551.879,56.4,49.285772624372655,284.138,444.446,456.385,412.983
Slovenia,5436,5504.305,5891.674,5342.351,1.3,59.62179665111706,261.507,264.793,283.428,257.002
Solomon Islands,NA,232.054,1712.632,-145.582,NA,NA,NA,32.962,243.273,-20.679
Somalia,1333,30823.616,32209.248,-7855.146,2212.3,NA,8.148,188.414,196.884,-48.016
South Africa,90172,240661.116,243312.348,231097.152,166.9,30.862814753859947,150.182,400.821,405.237,384.893
South Korea,4456,297.192,5095.147,-2778.756,-93.3,84.03902420464958,8.685,0.579,9.931,-5.416
South Sudan,133,34157.404,35607.679,929.875,25582.3,NA,1.169,300.117,312.859,8.17
Spain,88542,111972.225,116198.533,110631.529,26.5,82.50673849776825,189.414,239.537,248.578,236.669
Sri Lanka,14661,28093.586,51862.765,16015.935,91.6,74.23292946567351,68.199,130.684,241.252,74.502
St. Helena Ascension and Tristan da Cunha,NA,10.726,25.547,-4.764,NA,NA,NA,175.973,419.152,-78.159
Sudan,3252,220342.537,293363.83,49067.323,6675.6,NA,7.241,490.638,653.236,109.259
Suriname,1179,1432.761,2432.153,1041.684,21.5,NA,199.223,242.103,410.977,176.02
Sweden,15204,11403.699,12382.564,10981.909,-25,75.61088364857282,149.643,112.239,121.874,108.088
Switzerland,11824,12184.936,12759.222,11616.559,3.1,67.92109546515665,135.666,139.808,146.397,133.286
Syria,2823,24572.178,77443.962,12761.749,770.4,NA,15.447,134.453,423.754,69.829
Taiwan,848,-4075.276,-1755.85,-5098.446,-580.6,77.65745456886873,3.555,-17.084,-7.361,-21.373
Tajikistan,125,23170.233,32958.512,12031.218,18436.2,NA,1.282,237.653,338.049,123.402
Tanzania,734,77085.311,107367.754,-26977.874,10402.1,NA,1.194,125.345,174.586,-43.868
Thailand,21231,55356.488,60413.878,53104.227,160.7,NA,30.351,79.136,86.366,75.916
The Gambia,342,3281.272,4827.622,-930.654,859.4,NA,13.752,131.94,194.119,-37.422
Timor-Leste,122,2088.664,3154.341,138.36,1612,NA,9.078,155.421,234.72,10.296
Togo,243,12362.491,15994.958,-3393.471,4987.4,NA,2.866,145.814,188.659,-40.026
Tokelau,NA,3.668,6.226,-1,NA,NA,NA,268.161,455.12,-32.194
Tonga,NA,181.942,274.214,-53.373,NA,NA,NA,170.424,256.854,-49.994
Trinidad and Tobago,2454,3070.007,4999.298,2326.47,25.1,49.87750948784857,174.864,218.759,356.234,165.777
Tunisia,25443,27137.878,39008.85,22494.306,6.7,53.04913870616075,213.166,227.366,326.823,188.461
Turkey,79503,287190.451,382481.899,143334.192,261.2,66.51871125124667,93.486,337.701,449.753,168.544
Turkmenistan,NA,8845.736,16351.207,1036.008,NA,NA,NA,148.868,275.18,17.435
Turks and Caicos Islands,NA,145.842,161.415,-14.181,NA,NA,NA,371.799,411.5,-36.153
Tuvalu,NA,29.725,38.091,-1.2,NA,NA,NA,249.265,319.418,-10.064
Uganda,3269,61174.674,76377.912,-20505.844,1771.4,NA,6.937,129.818,162.08,-43.515
Ukraine,97328,188697.827,207375.176,166648.648,93.9,32.71814074652156,223.913,434.119,477.088,383.393
United Arab Emirates,2151,16432.405,35422.073,5758.883,663.9,98.99268177433818,21.529,164.471,354.537,57.64
United States,800343,1049277.41,1084029.462,1031474.554,31.1,72.17675880906492,240.405,315.179,325.617,309.831
Uruguay,6146,2896.565,3277.91,2670.601,-52.9,79.13629018189164,176.348,83.112,94.054,76.628
Uzbekistan,1442,49998.82,61278.546,37056.372,3367.3,53.9225180278093,4.249,147.334,180.572,109.196
Vanuatu,1,120.519,815.988,-119.043,11951.9,NA,0.318,38.325,259.485,-37.856
Vatican,NA,0.589,5.723,-1.195,NA,NA,NA,72.572,704.804,-147.187
Venezuela,5245,57603.524,98838.17,19161.073,998.3,NA,18.272,200.675,344.325,66.752
Vietnam,28333,142376.339,241973.367,69292.792,402.5,76.54179209981204,28.862,145.032,246.487,70.585
Virgin Islands (British),NA,115.153,169.792,-25.473,NA,NA,NA,378.506,558.105,-83.728
Wallis and Futuna,NA,20.503,44.885,-5.678,NA,NA,NA,184.812,404.584,-51.179
World,5320822,18180205.891,21378892.077,12015917.551,241.7,56.489828546847534,67.566,231.042,271.692,152.703
Yemen,1972,83099.139,129283.854,24556.947,4114,NA,6.468,272.54,424.012,80.539
Zambia,3671,30863.342,36625.608,8101.993,740.7,NA,19.402,163.12,193.575,42.821
Zimbabwe,4740,39370.883,48442.465,13588.19,730.6,26.383010105040555,31.407,260.87,320.977,90.035
