iso3c,date,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,daily_covid_deaths_per_100k,cumulative_covid_deaths_per_100k
CHE,2021-12-14,0.6367351280000015,1.0719149339999972,0.305035389999999,139.80774632943428,146.39699851243424,133.28629405243422,0.2796743363026812,136.29749501290462
CHL,2021-12-14,0.20518205799999983,0.6519817430000007,-0.02929373000000081,189.86932430438836,194.68981873238835,186.6678730683884,0.1509444804340039,201.8127703402632
CHN,2021-12-14,0.34497582099999985,1.719505221999997,-0.09548958800000006,67.60148268845847,182.6657201824585,4.183098203458706,0,0.3210045915967775
CIV,2021-12-14,0.745382218000001,1.038281736000001,-0.00344909100000004,121.62764474700006,132.40315360899976,-36.8204043850002,0,2.6096314102629266
CMR,2021-12-14,0.4180467609999996,0.9729957339999997,0.0018968490000000325,155.48810432999997,210.8369870299999,-4.168830180000004,0.005968940498736018,6.743984465033432
COD,2021-12-14,0.6142991620000007,1.3979503,-0.034146887999999966,195.03960042100002,217.980875448,-52.81996170599999,0.001759077103066525,1.218905118801789
COG,2021-12-14,0.825666811,1.0355947790000013,0.07975453600000051,196.63520672300007,196.63520672300007,-102.39310492200018,0.013257870711719622,6.452163746370216
COK,2021-12-14,1.2665166969999937,2.3233421020000096,-0.11573649799999963,262.33613676699974,476.6973010740004,-49.31810951200005,NA,NA
COL,2021-12-14,0.279499149999999,0.7190429930000001,-0.06872297300000055,305.66160215373435,326.6961218927343,292.85023700573436,0.10265119809504343,252.20497211778894
COM,2021-12-14,0.5121016420000025,0.8679884490000005,0.05647397099999982,177.80398690900037,214.02200559000028,-36.31657970000036,0,16.99577694337142
CPV,2021-12-14,0.2030462719999992,0.5877358579999992,-0.013656750999999447,220.07052742700057,293.85779808499956,79.35072656400025,0,62.46651990297223
CRI,2021-12-14,0.12791822199999964,0.48602025399999915,-0.10649278199999974,143.19319576828997,218.07772593029011,119.83690858828984,0.029188257058255677,142.7500358529091
CUB,2021-12-14,0.8336824030000008,1.2116181480000017,-0.004124503999999866,195.54724483858155,287.42891175958124,119.98355450758164,0.002208968802115096,73.45263060793118
CUW,2021-12-14,1.1937025839999982,1.3513893759999978,-3.063860000002529e-4,284.0263178029997,462.38793498300043,-11.40059358799995,NA,NA
CYM,2021-12-14,1.0426104460000007,1.7859096659999993,-0.09757987600000001,230.85044140499988,420.6650520799999,-49.26583663700007,NA,NA
CYP,2021-12-14,0.5131766179999988,1.0622894209999985,0.176531653,97.70287581363904,111.65826480763911,79.86686335363909,0.15345896507273954,68.74961635258732
CZE,2021-12-14,1.4848310250000045,2.017981630999998,0.8991184679999986,390.189561404287,404.729037067287,375.780910141287,1.0361737221122411,325.63594958223433
DEU,2021-12-14,1.0430896829999963,1.6231797289999996,0.5516571919999981,123.92827563171652,130.40822956971644,115.32492033271652,0.5145978262744199,128.3127480893403
DJI,2021-12-14,0.5955209830000014,0.8511791319999998,0.06560492600000015,520.1522874250008,550.6785798949995,78.24358647499996,0.012472597702846845,18.85856772670443
DMA,2021-12-14,0.40931433699999986,0.9231838550000012,0.07653853899999989,97.175799768,273.46773489699984,15.527739127999993,0,58.19431358421548
DNK,2021-12-14,0.5189315500000014,0.9358993320000004,0.11233910200000018,33.836427280442294,40.822216253442285,28.98843713944231,0.16986903484456856,52.48308104412948
DOM,2021-12-14,0.13391532800000008,0.62602728,-0.10090705800000008,62.66142117161547,137.9104382346155,33.206522127615386,0.009129323624845418,38.525745696847665
DZA,2021-12-14,0.6835245310000003,0.8908962899999979,0.033525629999999994,108.17371419800013,224.65107151700008,46.07557679700005,0.013728066304251694,13.831166883842807
ECU,2021-12-14,0.21077457299999994,0.5932596679999977,-0.05791115800000009,372.7480109781543,377.91486257815427,370.4611424441543,0.06428720526971725,187.75218053814987
EGY,2021-12-14,0.811566742000002,1.0219550920000002,0.11907184400000022,278.7606100840124,355.50020951001187,225.86712050901238,0.04280233654622139,20.366718525993612
ERI,2021-12-14,0.5467938899999999,1.1751801809999967,0.003608559000000404,74.21640832800004,277.50697794300015,-84.43987905399992,0.010412438059876796,1.8048225970453111
ESP,2021-12-14,0.29011944999999906,0.8190592310000001,0.1033459099999999,239.53731847832316,248.5784748833232,236.66922587732319,0.11498504092750805,189.68146277059267
EST,2021-12-14,0.7270945749999994,1.266758174000001,0.39117515600000086,263.3203821374693,269.9259117154694,259.49351050846934,0.3112765886802476,141.0365925438504
ETH,2021-12-14,0.8498029179999999,0.9349079649999995,-0.0020786790000000064,179.62717227600027,201.6948974009998,-60.41258421099999,0.00413569399481792,5.815422017328583
FIN,2021-12-14,0.286357249999999,0.7395250819999991,0.010808562999999705,70.78535206595673,77.85195806495673,66.16911144295673,0.12391046653236876,26.133843850463226
FJI,2021-12-14,0.8887005310000002,1.1922280109999994,-0.02544949800000011,187.9072001010001,286.174574891,72.16908660399979,0,77.19578823323539
FLK,2021-12-14,0.7177810639999995,1.7688925779999982,-0.14522549399999932,355.0798933219996,478.61699594299967,-56.122637956000005,NA,NA
FRA,2021-12-14,0.4816688309999997,1.0005776619999998,0.1239197740000003,135.22043743509772,146.3101442100977,130.38511345609768,0.21072534349563057,180.79975459211408
FRO,2021-12-14,0.8049567400000012,2.414656208999999,-0.36181370900000026,-87.55575680741514,10.32414597758508,-105.83196177341514,0,26.501946873789574
FSM,2021-12-14,1.3045973939999982,2.135982890000007,-0.0036875509999997587,257.9059523269998,309.638494521999,4.950738926000178,NA,NA
GAB,2021-12-14,0.6262662400000025,0.8177107869999981,0.024597757000000192,174.23855144300026,208.09819106500015,-20.60442791399984,0.021941093430002865,12.506423255101632
GBR,2021-12-14,0.42524354899999894,0.901659422999999,0.15984954299999962,215.14216854040333,222.98650169840332,211.4614205594034,0.17446860455054586,216.10062551539713
GEO,2021-12-14,2.7222923349999975,2.7222923349999975,1.3383631160000025,522.9162522112485,574.7527422402493,419.20740627024867,1.253212180694728,324.59137744790974
GGY,2021-12-14,1.2787314250000006,2.1044970729999952,-0.3381733579999993,129.91081490699986,785.2969388789998,-158.22706632599983,NA,NA
GHA,2021-12-14,0.46069057799999963,0.7717388999999993,-0.005429169000000057,61.296337974999894,134.88115653999984,-46.301846678999794,0.010635908187437034,3.9549821556247347
GIB,2021-12-14,1.2441045499999972,2.782965491999998,-0.08919743299999995,320.2928079315098,639.0529648395104,75.28204123051034,NA,NA
GIN,2021-12-14,0.5151351309999993,1.2001473520000017,-0.016332068000000005,135.82537481800009,183.62090003600005,-48.282087722999904,0,2.874662421649705
GMB,2021-12-14,0.329856344999999,0.75464602299999894,0.009116256999999944,131.94030670800007,194.1192019740004,-37.421687097999794,0,13.751856199011073
GNB,2021-12-14,0.5256347290000024,0.8211506009999991,-0.033076851000000046,146.74717546000014,180.0718100600002,-31.12688216299994,0,7.392743203885903
GNQ,2021-12-14,0.7559832970000002,1.0779170239999982,0.004845599999999928,144.01132926500014,188.1482292010001,-13.497658684000276,0,12.069872838716842
GRC,2021-12-14,1.2401781840000021,1.8188654560000053,0.740174012999998,236.21613135183046,248.70706408083052,217.28609159983043,0.9039850263438112,189.4849040286105
GRD,2021-12-14,0.5555690630000013,0.9756558900000009,-0.1452882710000002,128.5079417859999,282.8722405529998,17.7840620950003,0,176.96765916028846
GRL,2021-12-14,1.0308471580000036,2.1106358879999934,-0.452707742,-43.49868949329528,71.7717009137048,-72.78615268629535,NA,NA
GTM,2021-12-14,0.32225913899999864,0.6614880299999998,0.06268477599999961,253.5441672762815,268.18826186728165,239.67550865828161,0.03630163242824551,88.00611598944167
GUY,2021-12-14,0.37765008399999983,1.0308847370000018,0.17338122999999972,204.769739146,339.69171383299994,110.097237643,0.2688753670939571,129.81935371218822
