iso3c,location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths,demography_adjusted_ifr_percent,aged_65_older_pct
ABW,Aruba,2020-04-13,1.168726381019155,28.71727679075638,0.034,-0.115,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-06-22,42.24111062826375,42.24111062826375,0.253,-0.126,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-02-15,175.80983988759576,175.80983988759576,1.053,0.009,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-06-07,0,82.31172940606335,0.191,-0.193,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-08-17,39.06885330835461,53.9283744384553,0.246,-0.076,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-09-21,168.12963795518414,168.12963795518414,1.007,-0.068,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-01-20,0,14.859521130100685,0.038,-0.009,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-02-22,175.80983988759576,175.80983988759576,1.053,-0.009,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-05-11,0,9.516771959727405,-0.027,-0.501,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-01-27,48.75258617965618,48.75258617965618,0.292,-0.009,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-11-09,0,39.23581421992878,0.137,-0.073,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-10-18,137.24186931396363,307.04111638488945,1.13,0.303,0,NA,FALSE,0.598942585166585,13.085
ABW,Aruba,2021-03-08,120.04489542182463,120.04489542182463,0.719,0.009,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-02-17,0,13.356872925933201,0.08,-0.107,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-02-01,175.80983988759576,175.80983988759576,1.053,0.014,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-03-02,84.31526034495333,84.31526034495333,0.505,-0.05,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-06-29,42.24111062826375,42.24111062826375,0.253,-0.106,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-09-06,221.55712965891698,273.64893407005644,1.386,0.118,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-04-06,1.168726381019155,30.219924994923865,0.057,-0.116,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-05-25,0,21.204035769918956,-0.063,-0.501,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-12-07,0,36.39747872316797,0.205,-0.134,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-11-23,0,34.06002596112966,0.12,-0.073,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-03-30,84.31526034495333,84.31526034495333,0.505,-0.106,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-10-25,137.4088302255378,314.72131831730104,1.169,0.312,0,NA,FALSE,0.598942585166585,13.085
ABW,Aruba,2020-10-12,82.14476849448918,87.48751766486247,0.492,-0.063,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-11-08,137.4088302255378,374.4933246608521,1.16,0.4,0,NA,FALSE,0.598942585166585,13.085
ABW,Aruba,2021-12-06,156.77629596814094,380.3369565659479,1.079,0.406,0,NA,FALSE,0.598942585166585,13.085
ABW,Aruba,2021-05-24,38.06708783890962,369.65145822520134,0.851,0.228,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-03-23,84.31526034495333,84.31526034495333,0.505,-0.072,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-11-15,141.08197028016943,314.22043558257855,1.057,0.391,0,NA,FALSE,0.598942585166585,13.085
ABW,Aruba,2021-11-29,126.89029279636542,375.1611683071488,0.981,0.366,0,NA,FALSE,0.598942585166585,13.085
ABW,Aruba,2021-06-14,0,75.96721476624508,0.186,-0.193,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-08-09,327.9112303316601,327.9112303316601,1.964,0.06,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-11-02,0,43.74375883243123,0.138,-0.073,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-10-11,124.88676185747543,289.1762988464538,1.123,0.332,0,NA,FALSE,0.598942585166585,13.085
ABW,Aruba,2021-05-03,38.06708783890962,146.4247194505427,0.477,0.073,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-03-09,84.31526034495333,84.31526034495333,0.505,-0.06,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-01-25,52.091804411139485,134.06961199405453,0.489,0.015,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-01-04,52.091804411139485,108.69155343478143,0.425,0.091,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-08-30,327.9112303316601,327.9112303316601,1.964,0.068,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-09-20,221.55712965891698,262.4625529945874,1.327,0.119,0,NA,TRUE,0.598942585166585,13.085
AFG,Afghanistan,2021-02-01,23224.034094882,110926.01803133485,75.808,31.115,0,3.25,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-02-15,48302.85606460835,165176.13759162114,80.566,34.452,0,2.125,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-07-20,75358.87444498365,153643.61145310206,138.925,77.53,25269.1523150323,21.625,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-02-03,0,12534.93262379715,4.673,-18.785,0,NA,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-09-20,106343.16187377175,178713.47670069637,167.267,109.653,42216.76337588369,4,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-01-06,0,13532.860748009178,4.365,-8.369,0,NA,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-11-22,32666.658402590572,193866.7577610947,151.219,43.766,3805.860512608174,1.25,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-05-11,33374.98584453314,69659.41359495894,49.583,6.824,0,6,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-10-04,85193.3553459692,165238.83464654547,147.114,97.095,36046.3282204156,1.625,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-07-12,200505.18164796213,332036.13894406677,313.684,193.062,110464.7468415345,74,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-03-22,31850.10390155246,122576.47434459253,77.108,33.704,0,0.875,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-04-12,115513.35254996395,206069.54527249516,154.762,73.831,8639.504889868525,4,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-01-27,0,12685.704113019909,5.662,-12.867,0,NA,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-03-23,9432.174798554519,56142.97350419184,26.097,-12.235,0,1,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-12-21,93589.5359512505,157821.17593419008,125.389,71.27,4707.503873900717,14.25,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-03-15,24003.268920369926,125144.81441595647,84.854,32.159,0,1.25,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-08-09,172004.14543028356,246594.2345589333,230.447,153.444,70941.7176468634,24.875,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-01-11,8919.402456494934,108252.43647491936,80.361,11.95,0,8.375,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-05-31,173944.0221653823,335569.5658251586,280.618,165.686,67453.07437643183,17.75,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-12-14,59415.16265643232,171285.36847918693,154.479,79.603,14868.905132705908,13.25,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-07-06,77254.71396293321,185439.22862835124,154.649,97.424,35399.20504637534,19.75,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-09-21,79882.76551517745,150608.77543736077,137.381,76.853,26264.09486520032,3,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-09-13,127405.64036078686,196309.70372261002,180.304,113.006,49493.353714659344,4.625,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-08-17,83234.81877309534,158762.37815156582,125.667,75.708,12731.234117191138,7.875,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-11-01,93187.97624233048,214447.8124335124,188.455,107.141,44454.45112187296,3.25,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-04-20,32547.981834340975,42535.47340508229,43.607,-26.688,0,1.875,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-03-02,0,36319.50824544297,0.246,-35.207,0,NA,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-06-07,153930.9729548385,294482.0958314236,268.214,186.474,107162.7019488539,33.5,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-06-14,156779.95698633985,287663.0447148932,279.603,192.411,99220.32859826286,58.375,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-03-01,6176.406303556117,110746.13719518294,74.431,8.275,0,1.5,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-11-02,83431.12026648932,175362.16983628945,138.456,80.874,19665.976227927076,3.125,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-05-17,126168.11991954263,317967.3676551569,247.955,128.547,44850.03968270495,7.375,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-06-15,77764.50073094877,159795.38677079504,137.499,68.876,9953.157469235144,14.875,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-02-17,0,25657.276940754262,11.265,-25.448,0,NA,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-11-23,90733.0879846391,204339.40511398847,162.023,88.313,25531.136437394627,10.25,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-10-18,88175.94381594022,173148.3666826523,156.864,98.686,42431.72470705277,2.625,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-06-08,98641.12723372396,157520.37934925559,145.12,79.944,9678.48465718576,14.875,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-10-19,78978.1365798409,159628.9410178412,121.869,71.38,25975.24057644186,2.5,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-03-29,124771.61766045459,179905.46713776936,167.166,70.078,13223.853834453621,1.125,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-07-05,182952.2454496867,305831.00916623574,296.965,193.448,99927.16325318342,79.125,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-01-13,0,16531.12348171128,5.487,-8.369,0,NA,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-12-28,12481.938684515882,94818.09967036269,87.962,16.723,0,14.5,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-08-10,70693.91500121015,139880.8615037037,132.506,70.418,29238.473006550303,3.625,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-01-01,0,13532.860748009178,4.685,-8.369,0,NA,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-04-26,169918.72196053903,309940.65183782246,227.653,105.103,15726.511276849229,6.625,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-11-08,47645.28338141404,191202.87932032224,169.376,63.834,31102.217603526693,1,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2021-09-06,145368.34659660337,212261.62583978235,200.337,121.699,49102.24351489337,4,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-06-22,94069.46697882592,165273.91514156264,151.757,90.139,27028.40182046817,15.875,FALSE,0.133977584914315,2.581
AFG,Afghanistan,2020-05-04,33445.8932280785,54027.69429400719,44.81,-2.805,0,2.875,FALSE,0.133977584914315,2.581
