location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Oceania,2020-04-27,-44.55,-37.592,-42.512,-44.55,-45.389,2.875,FALSE
Europe,2020-04-27,2291.037,2291.179,2291.179,2291.037,2290.835,2866,FALSE
Asia,2020-04-27,-2008.823,-1269.742,-2008.823,-2674.427,-2674.427,352.75,FALSE
Latin America and Caribbean,2020-04-27,1400.476,1428.646,1400.476,1392.579,1387.7,685,FALSE
North America,2020-04-27,2245.069,2245.069,2245.069,2245.069,2245.069,2214.625,FALSE
Africa,2020-05-04,376.425,376.425,376.425,220.045,-1021.651,52.5,FALSE
Oceania,2020-05-04,-33.374,-25.455,-28.316,-33.374,-34.016,1.75,FALSE
Europe,2020-05-04,1723.555,1723.62,1723.614,1723.555,1723.056,2086.25,FALSE
Asia,2020-05-04,1029.723,1478.702,1029.723,386.68,26.596,358.5,FALSE
Latin America and Caribbean,2020-05-04,2688.201,2688.201,2688.201,2672.025,2633.851,1050.875,FALSE
North America,2020-05-04,1954.554,1954.554,1954.554,1954.554,1954.554,2003.875,FALSE
Africa,2020-05-11,466.089,466.089,466.089,342.399,-777.523,68.5,FALSE
Oceania,2020-05-11,-50.286,-41.252,-46.406,-50.286,-52.601,0.375,FALSE
Europe,2020-05-11,1740.81,1740.822,1740.81,1740.787,1740.298,1629.625,FALSE
Asia,2020-05-11,1247.178,2226.551,1247.178,821.127,223.575,360.25,FALSE
Latin America and Caribbean,2020-05-11,2942.95,2944.866,2942.95,2923.218,2883.881,1359.25,FALSE
North America,2020-05-11,1670.64,1670.64,1670.64,1670.64,1670.64,1795.5,FALSE
Africa,2020-05-18,527.407,527.407,527.407,406.744,-791.784,67.625,FALSE
Oceania,2020-05-18,-48.499,-38.101,-44.165,-48.499,-49.961,0.25,FALSE
Europe,2020-05-18,1302.693,1302.693,1302.693,1302.572,1301.9,1292.625,FALSE
Asia,2020-05-18,2530.446,2841.037,2530.446,1577.392,1159.996,364.125,FALSE
Latin America and Caribbean,2020-05-18,3156.04,3157.223,3156.04,3151.601,3117.858,1621.125,FALSE
North America,2020-05-18,1257.754,1257.754,1257.754,1257.754,1257.754,1498,FALSE
Africa,2020-05-25,550.911,550.911,550.911,351.029,-791.251,90.125,FALSE
Oceania,2020-05-25,-58.592,-49.489,-55.119,-58.592,-59.554,0.375,FALSE
Europe,2020-05-25,956.746,956.836,956.763,956.746,956.388,712.25,FALSE
Asia,2020-05-25,5833.013,5833.013,5833.013,2561.281,1720.427,382,FALSE
Latin America and Caribbean,2020-05-25,3305.344,3307.538,3305.344,3302.916,3256.684,1951,FALSE
North America,2020-05-25,1038.154,1038.154,1038.154,1038.154,1038.154,1205,FALSE
Africa,2020-06-01,1850.674,1970.201,1970.201,1850.674,594.749,123.625,FALSE
Oceania,2020-06-01,-72.338,-61.529,-69.962,-72.338,-74.03,0.125,FALSE
Europe,2020-06-01,1432.947,1433.171,1432.976,1432.947,1432.881,517.5,FALSE
Asia,2020-06-01,8625.715,9348.25,8625.715,6201.603,5167.477,479.875,FALSE
