location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Latin America and Caribbean,2020-05-18,15.316,16.003,15.422,14.89,14.204,6.269,FALSE
Africa,2020-05-18,-0.499,3.511,-0.499,-7.169,-17.159,0.206,FALSE
North America,2020-05-18,39.892,39.892,39.892,39.892,39.892,27.188,FALSE
Oceania,2020-05-25,-0.633,2.886,0.871,-1.178,-2.309,0.285,FALSE
Europe,2020-05-25,27.984,28.002,27.987,27.982,27.977,22.366,FALSE
Asia,2020-05-25,-0.727,-0.258,-0.727,-5.501,-11.627,0.595,FALSE
Latin America and Caribbean,2020-05-25,18.86,19.638,18.955,18.411,17.66,8.393,FALSE
Africa,2020-05-25,-0.478,4.085,-0.478,-7.369,-18.726,0.253,FALSE
North America,2020-05-25,42.046,42.046,42.046,42.046,42.046,29.43,FALSE
Oceania,2020-06-01,-1.449,2.316,0.124,-1.95,-3.152,0.287,FALSE
Europe,2020-06-01,29.324,29.343,29.327,29.322,29.317,23.101,FALSE
Asia,2020-06-01,0.918,0.928,0.918,-4.714,-11.172,0.67,FALSE
Latin America and Caribbean,2020-06-01,22.518,23.368,22.605,22.029,21.266,10.555,FALSE
Africa,2020-06-01,0.416,5.288,0.416,-7.276,-19.571,0.316,FALSE
North America,2020-06-01,43.774,43.774,43.774,43.774,43.774,31.375,FALSE
Oceania,2020-06-08,-2.12,1.844,-0.389,-2.609,-3.856,0.287,FALSE
Europe,2020-06-08,30.56,30.579,30.563,30.557,30.553,23.671,FALSE
Asia,2020-06-08,2.403,2.615,2.403,-3.228,-10.647,0.764,FALSE
Latin America and Caribbean,2020-06-08,26.39,27.222,26.473,25.818,24.995,13.235,FALSE
Africa,2020-06-08,1.37,6.367,1.37,-7.266,-20.127,0.39,FALSE
North America,2020-06-08,45.328,45.328,45.328,45.328,45.328,32.95,FALSE
Oceania,2020-06-15,-3.028,1.241,-1.116,-3.503,-4.835,0.287,FALSE
Europe,2020-06-15,31.489,31.509,31.492,31.486,31.481,24.131,FALSE
Asia,2020-06-15,3.635,4.297,3.635,-2.225,-10.121,0.882,FALSE
Latin America and Caribbean,2020-06-15,30.261,31.167,30.376,29.598,28.764,15.833,FALSE
Africa,2020-06-15,2.728,7.356,2.728,-6.68,-20.217,0.492,FALSE
North America,2020-06-15,46.938,46.938,46.938,46.938,46.938,34.32,FALSE
Oceania,2020-06-22,-4.075,0.434,-2.013,-4.579,-5.953,0.287,FALSE
Europe,2020-06-22,32.942,32.963,32.946,32.94,32.935,24.696,FALSE
Asia,2020-06-22,5.237,6.274,5.237,-1.235,-9.396,1.05,FALSE
Latin America and Caribbean,2020-06-22,34.106,35.161,34.236,33.402,32.586,18.766,FALSE
Africa,2020-06-22,4.153,8.385,4.153,-5.839,-18.813,0.607,FALSE
North America,2020-06-22,48.76,48.76,48.76,48.76,48.76,35.473,FALSE
Oceania,2020-06-29,-5.1,-0.166,-2.899,-5.576,-7.096,0.292,FALSE
Europe,2020-06-29,34.183,34.205,34.187,34.18,34.175,25.052,FALSE
Asia,2020-06-29,7.113,8.402,7.113,0.329,-8.581,1.194,FALSE
Latin America and Caribbean,2020-06-29,38.08,39.185,38.231,37.355,36.449,21.61,FALSE
Africa,2020-06-29,5.481,9.338,5.481,-4.68,-18.691,0.719,FALSE
North America,2020-06-29,50.772,50.772,50.772,50.772,50.772,36.545,FALSE
Oceania,2020-07-06,-6.123,-0.934,-3.855,-6.621,-8.32,0.296,FALSE
Europe,2020-07-06,35.38,35.402,35.384,35.377,35.372,25.405,FALSE
Asia,2020-07-06,8.795,10.3,8.795,1.57,-7.602,1.354,FALSE
Latin America and Caribbean,2020-07-06,43.024,44.309,43.275,42.291,41.37,24.429,FALSE
Africa,2020-07-06,6.794,10.012,6.794,-3.851,-19.059,0.845,FALSE
North America,2020-07-06,53.602,53.602,53.602,53.602,53.602,37.552,FALSE
Oceania,2020-07-13,-7.196,-1.777,-4.786,-7.691,-9.597,0.301,FALSE
Europe,2020-07-13,36.546,36.57,36.55,36.544,36.539,25.737,FALSE
Asia,2020-07-13,10.457,12.21,10.457,2.662,-6.303,1.529,FALSE
Latin America and Caribbean,2020-07-13,48.063,49.503,48.339,47.318,46.513,27.365,FALSE
Africa,2020-07-13,8.507,11.512,8.507,-2.939,-19.073,0.98,FALSE
North America,2020-07-13,56.821,56.821,56.821,56.821,56.821,39.048,FALSE
Oceania,2020-07-20,-8.091,-2.472,-5.55,-8.574,-10.706,0.342,FALSE
Europe,2020-07-20,37.728,37.752,37.732,37.726,37.72,26.031,FALSE
Asia,2020-07-20,12.288,14.497,12.288,4.182,-5.237,1.739,FALSE
Latin America and Caribbean,2020-07-20,53.102,54.623,53.425,52.297,51.564,30.51,FALSE
Africa,2020-07-20,10.673,13.718,10.673,-2.192,-18.825,1.123,FALSE
North America,2020-07-20,60.407,60.407,60.407,60.407,60.407,40.578,FALSE
Oceania,2020-07-27,-8.826,-2.825,-6.153,-9.259,-11.679,0.437,FALSE
