location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Oceania,2020-06-01,-0.117,-0.068,-0.095,-0.117,-0.135,0,FALSE
Europe,2020-06-01,0.191,0.192,0.192,0.191,0.191,0.069,FALSE
Africa,2020-06-01,0.128,0.172,0.128,0.014,-0.105,0.009,FALSE
North America,2020-06-01,0.247,0.247,0.247,0.247,0.247,0.266,FALSE
Asia,2020-06-01,0.235,0.333,0.235,0.101,0.035,0.01,FALSE
Latin America and Caribbean,2020-06-08,0.553,0.568,0.553,0.542,0.532,0.365,FALSE
Oceania,2020-06-08,-0.096,-0.05,-0.076,-0.096,-0.115,-0,FALSE
Europe,2020-06-08,0.176,0.177,0.177,0.176,0.176,0.079,FALSE
Africa,2020-06-08,0.136,0.178,0.136,0.016,-0.111,0.01,FALSE
North America,2020-06-08,0.222,0.222,0.222,0.222,0.222,0.224,FALSE
Asia,2020-06-08,0.212,0.428,0.264,0.132,0.041,0.013,FALSE
Latin America and Caribbean,2020-06-15,0.553,0.571,0.553,0.544,0.534,0.37,FALSE
Oceania,2020-06-15,-0.13,-0.08,-0.106,-0.13,-0.151,0,FALSE
Europe,2020-06-15,0.133,0.133,0.133,0.133,0.133,0.064,FALSE
Africa,2020-06-15,0.194,0.234,0.194,0.078,-0.046,0.014,FALSE
North America,2020-06-15,0.23,0.23,0.23,0.23,0.23,0.19,FALSE
Asia,2020-06-15,0.176,0.314,0.214,0.124,0.049,0.016,FALSE
Latin America and Caribbean,2020-06-22,0.549,0.571,0.554,0.543,0.534,0.403,FALSE
Oceania,2020-06-22,-0.15,-0.102,-0.126,-0.151,-0.173,0,FALSE
Europe,2020-06-22,0.208,0.208,0.208,0.208,0.208,0.076,FALSE
Africa,2020-06-22,0.204,0.244,0.204,0.1,-0.034,0.017,FALSE
Asia,2020-06-22,0.229,0.344,0.237,0.155,0.073,0.024,FALSE
North America,2020-06-22,0.26,0.26,0.26,0.26,0.26,0.158,FALSE
Latin America and Caribbean,2020-06-29,0.568,0.594,0.576,0.564,0.553,0.395,FALSE
Oceania,2020-06-29,-0.146,-0.096,-0.122,-0.149,-0.171,0.001,FALSE
Europe,2020-06-29,0.177,0.177,0.177,0.177,0.177,0.048,FALSE
Africa,2020-06-29,0.19,0.249,0.191,0.106,-0.033,0.016,FALSE
North America,2020-06-29,0.287,0.287,0.287,0.287,0.287,0.147,FALSE
Asia,2020-06-29,0.268,0.372,0.268,0.17,0.094,0.02,FALSE
Latin America and Caribbean,2020-07-06,0.706,0.725,0.715,0.703,0.693,0.392,FALSE
Oceania,2020-07-06,-0.146,-0.096,-0.125,-0.15,-0.175,0.001,FALSE
Europe,2020-07-06,0.171,0.171,0.171,0.171,0.171,0.049,FALSE
Africa,2020-07-06,0.188,0.229,0.188,0.081,-0.052,0.018,FALSE
North America,2020-07-06,0.404,0.404,0.404,0.404,0.404,0.139,FALSE
Asia,2020-07-06,0.24,0.289,0.24,0.162,0.109,0.023,FALSE
Latin America and Caribbean,2020-07-13,0.72,0.743,0.731,0.715,0.706,0.408,FALSE
Oceania,2020-07-13,-0.153,-0.11,-0.133,-0.161,-0.183,0.001,FALSE
Europe,2020-07-13,0.167,0.167,0.167,0.167,0.167,0.046,FALSE
Africa,2020-07-13,0.245,0.295,0.245,0.123,0.014,0.019,FALSE
North America,2020-07-13,0.46,0.46,0.46,0.46,0.46,0.2,FALSE
Asia,2020-07-13,0.238,0.299,0.238,0.171,0.108,0.025,FALSE
Latin America and Caribbean,2020-07-20,0.72,0.747,0.726,0.71,0.701,0.435,FALSE
