location,iso3c,official_covid_deaths_per_100k,cumulative_estimated_daily_excess_deaths_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65,cumulative_estimated_daily_excess_deaths_per_100k_demography_adjusted,implied_infections_per_100_persons,implied_infections_per_100_persons_top_95,implied_infections_per_100_persons_bot_95
Eritrea,ERI,1.777,74.21640832800004,277.507,-84.44,2057.5660750762418,158.35243649269898,37.48336090427974,140.15625980877724,0
Spain,ESP,189.414,239.53731847832316,248.578,236.669,1232.4414410286229,103.52276827128493,24.504714741800655,25.429626818331975,24.211308305229338
Estonia,EST,140.961,263.3203821374693,269.926,259.494,1353.693101673192,120.93441582586779,28.626198968263058,29.34430214909416,28.210170448979795
Ethiopia,ETH,5.804,179.62717227600027,201.695,-60.413,5094.361096880325,449.40747408026255,106.37854975352967,119.44746669639594,0
Finland,FIN,26.026,70.78535206595673,77.852,66.169,333.45276081569966,31.37027929532727,7.425610407636644,8.166920036272066,6.941351964133195
Fiji,FJI,77.196,187.9072001010001,286.175,72.169,3019.0745517512864,297.6216792701441,70.44956846960139,107.29165937870454,27.057403895988422
France,FRA,180.298,135.22043743509772,146.31,130.385,685.7715662597511,59.75812555167443,14.145253692512325,15.305335102419308,13.63943603901396
Micronesia,FSM,NA,257.9059523269998,309.638,4.951,5361.870110748437,534.0287052641628,126.40911081645885,151.76511598090494,2.4265376579080873
Gabon,GAB,12.506,174.23855144300026,208.098,-20.604,3915.4730661348367,411.9995508298009,97.52377796136149,116.47549644731251,0
Britain,GBR,215.645,215.14216854040333,222.987,211.461,1161.8629828827743,107.78764178759556,25.51424637114408,26.444525405553645,25.077737287618287
Georgia,GEO,322.28,522.9162522112485,574.753,419.207,3518.004926071371,335.5210351422823,79.42066651936578,87.29360711113102,63.669338015502426
Ghana,GHA,3.917,61.296337974999894,134.881,-46.302,1810.822392171341,157.3121298807242,37.23711153135292,81.93939206623308,0
Guinea,GIN,2.875,135.82537481800009,183.621,-48.282,4332.547841084533,410.55977379507664,97.18297056104876,131.38063890125935,0
The Gambia,GMB,13.752,131.94030670800007,194.119,-37.422,5640.885280376232,434.29536651875867,102.80138609063734,151.2481176347427,0
Guinea-Bissau,GNB,7.393,146.74717546000014,180.072,-31.127,4888.313639573623,449.27613327365594,106.34746027385673,130.49777351263052,0
Equatorial Guinea,GNQ,12.07,144.01132926500014,188.148,-13.498,5060.131035312725,472.61969142118573,111.87307790383393,146.16017788530664,0
Greece,GRC,187.788,236.21613135183046,248.707,217.286,1158.149300607131,93.34977943959855,22.0966822523802,23.265138318310232,20.325884165767523
Grenada,GRD,176.968,128.5079417859999,282.872,17.784,1759.4186991511483,120.26443601583307,28.467609081209,62.66302496228917,3.9395987560013213
Greenland,GRL,NA,-43.49868949329528,71.772,-72.786,NA,-21.5503947653382,0,8.416781834328084,0
Guatemala,GTM,87.951,253.5441672762815,268.188,239.676,5401.452221480219,435.14705635887077,103.00298827853236,108.95219042232631,97.36880904887494
Guyana,GUY,129.566,204.769739146,339.692,110.097,3859.9385324410932,261.5469220397976,61.91036834897871,102.70286623504595,33.286952286554794
Hong Kong,HKG,2.82,23.463656395976393,69.562,16.534,143.92232347406238,11.60081396573417,2.7460107737658412,8.141031679132796,1.9349847712640906
Honduras,HND,103.578,285.7838877390002,441.18,204.891,6143.247801784183,478.5289656941222,113.27185309896689,174.86391398817355,81.20950005428416
Croatia,HRV,287.187,424.62621422670315,449.415,404.488,2152.840266815571,195.37631114112108,46.24722514444635,48.946996942234584,44.053878788114865
Haiti,HTI,6.602,190.9910178699998,300.911,15.898,3978.979538958329,332.2033848843105,78.63535064593765,123.8918741000734,6.545624040078961
Hungary,HUN,384.87,408.394557001539,442.812,386.452,2198.388098194213,210.66768282481192,49.866822141096875,54.06930460752853,47.18757403997076
Indonesia,IDN,52.091,204.13203383999996,323.81,49.121,3837.78969430344,290.2245451453834,68.69860426471179,108.97503551714834,16.531042695762093
India,IND,34.171,341.41403222400015,539.741,76.953,5700.685126465189,485.73057280852146,114.97653440693212,181.7663376194244,25.91518417657546
Ireland,IRL,116.157,68.12440385814014,95.481,58.073,489.1183505035909,46.05350869035134,10.901254981500793,15.278917892463609,9.29278458447424
Iran,IRN,153.867,309.1128907143477,318.466,305.369,5682.22225577845,420.2829875657407,99.48453748977782,102.49465634834651,98.27952284403379
Iraq,IRQ,58.299,602.655658003001,960.363,231.614,18915.74570003142,1500.7695029040322,355.2448333441462,566.1013108352878,136.52827402978232
Iceland,ISL,10.485,-7.495209869618328,0.66,-28.174,-51.93825701350099,-4.562691334839801,0,0.09516572091383113,0
Israel,ISR,88.516,83.44803994791643,89.65,77.531,711.2250911780144,64.25461716097901,15.209611283261484,16.340067712755115,14.13105462480071
Italy,ITA,223.712,298.6159892410896,313.51,292.161,1297.1460372750514,115.03999581363654,27.230939902261508,28.589106144087562,26.642282974935917
Jamaica,JAM,81.689,120.17672487177839,186.762,81.923,1240.9822890518215,118.64112216485282,28.083356964317737,43.643355521638895,19.14404132324299
Jordan,JOR,117.324,301.9958844660003,389.641,190.682,7926.401167086621,620.7257632857777,146.93103764714138,189.5732887707068,92.77333110942783
Japan,JPN,14.574,10.700809234476319,32.9,6.91,39.560831211787196,3.4834922705937617,0.8245720803415302,2.53520137998778,0.5324266307134204
Kazakhstan,KAZ,95.099,433.61808891346084,480.687,382.872,6202.518794356471,501.8042344867345,118.78130606111205,131.67481413038107,104.88039018451533
Kenya,KEN,9.728,159.8016554190002,184.82,0.579,5949.428719992562,494.4895185623604,117.04985094126462,135.37481938899978,0.4240555076543499
Kyrgyzstan,KGZ,41.835,207.94977048929556,233.862,180.929,4632.429727986089,362.7072968405569,85.85588457754581,96.55435327009492,74.69989264062377
Cambodia,KHM,17.656,131.59299539700015,234.788,61.338,2982.6154895058967,246.42313411739937,58.33043984588188,104.07316457604642,27.189017303062435
Kiribati,KIR,NA,110.51905862599999,237.04,-79.407,2837.4597850064183,224.6879077814516,53.18552795736732,114.07169615384548,0
South Korea,KOR,8.685,0.5792639168541803,9.931,-5.416,4.163173184233005,0.3449957678030579,0.08166341586797965,1.4000596548581445,0
Kuwait,KWT,56.971,210.24730605208364,451.856,146.51,8965.76998089909,404.31316668520356,95.70434583058932,205.68441723019924,66.69108084892471
Laos,LAO,3.388,205.5652114910003,247.258,45.644,5102.13977391413,418.8663831183472,99.14921523685683,119.25859256360945,22.01540636666278
Lebanon,LBN,131.08,197.36180795496722,209.04,189.431,2318.085599659,235.16104676493188,55.66460852608703,58.95827973396859,53.427673981846745
Liberia,LBR,5.54,85.88733384899994,129.648,-73.22,2809.530057212952,222.78268290963592,52.73454511772298,79.60356488181243,0
Libya,LBY,80.031,403.919389585,447.212,198.76,9130.185117201627,709.7422150938567,168.00198460219178,186.00881648951258,82.67004807618136
Saint Lucia,LCA,153.47,284.28483979300046,453.37,100.088,2924.4402817920013,243.43492192782188,57.62310474930025,91.89573768600297,20.28741306009377
Sri Lanka,LKA,68.199,130.68421538000027,241.252,74.502,1297.8867353262515,118.96395607498121,28.159774481051308,51.98495413325415,16.05366861839467
Lesotho,LSO,30.754,98.87155800300006,201.451,0.532,2194.220106591213,181.71490443341085,43.013454642223216,87.64006883783344,0.23142937788996598
Lithuania,LTU,261.017,627.1374505329684,634.984,614.517,3300.3760158560594,270.337399991933,63.99114882131578,64.79179856207949,62.70341754615681
Luxembourg,LUX,141.144,46.95025197720655,70.803,41.745,328.0481552348138,28.65718741390362,6.783398614687297,10.229694876203343,6.0312787472105205
Latvia,LVA,235.145,421.0958714060307,427.679,404.002,2131.699257902352,186.71223587305025,44.196365256414765,44.887352815311296,42.4022796802942
Macau,MAC,NA,18.5557722969148,84.111,-1.419,189.38326492054296,14.613994098653288,3.4592559936903244,15.680314723094208,0
Morocco,MAR,39.625,168.24322571100015,308.767,89.035,2485.4960217314247,211.26518941589146,50.008257004318274,91.77738597145182,26.46469249639626
Moldova,MDA,233.945,442.89328713645216,477.345,405.785,4076.7055148789773,356.208520708908,84.31756930703877,90.8764469048854,77.25299010961747
Madagascar,MDG,3.447,116.14781305599992,131.245,-55.261,3965.4425761693387,309.9295495959224,73.36294546336488,82.89875851901044,0
Maldives,MDV,47.46,108.86380925400009,289.814,59.635,2642.3254673300994,212.9631711120909,50.41018363163884,134.20069917270436,27.61438368417812
Mexico,MEX,227.787,461.40648965546666,485.907,451.432,6728.984827992805,533.1004874075616,126.18939379986351,132.8900757637327,123.4614438142108
North Macedonia,MKD,372.312,770.9074520924544,801.382,720.024,5813.781689988344,560.258095048838,132.61782920042472,137.86023415898816,123.86450771578163
Mali,MLI,3.035,87.73211464700005,164.907,-69.103,3482.8151904327133,301.0545825079173,71.26216569804288,133.94901698160692,0
Malta,MLT,91.261,82.22245710760154,89.652,72.532,423.2598430330565,39.66917363741028,9.390028882152032,10.238497307427808,8.283403485458736
Myanmar,MMR,35.02,201.22377622500005,280.19,61.993,3510.5334303035597,299.04578430030864,70.7866661738967,98.56548832320993,21.808014747079596
Montenegro,MNE,375.766,587.9939658182498,662.055,527.95,3983.1592319350343,381.7654512284755,90.36711089596606,101.74933496111136,81.13907831103019
Mongolia,MNG,61.214,24.184624649961545,68.606,19.065,599.9658806738166,43.8376462652176,10.37674160592447,29.43643727189487,8.180004009742929
Mozambique,MOZ,6.047,162.9224724910004,229.74,38.987,5159.039660892983,495.4144611941336,117.26879268444463,165.36322221599076,28.061921882742634
Mauritania,MRT,17.843,151.27378403200018,215.355,-63.311,4820.706948119828,393.8778525483382,93.23421872294806,132.729045361687,0
Mauritius,MUS,18.847,-4.811863692452185,34.961,-26.493,-43.96403556374769,-3.8592738302632053,0,6.637294623977181,0
Malawi,MWI,11.757,112.22173939300019,173.306,-53.867,3767.0943065793954,355.40675738861376,84.12778514861321,129.91984984791975,0
Malaysia,MYS,94.447,82.39894809057324,153.518,34.326,1309.374671707822,106.87808665318228,25.298946978721247,47.13460512327733,10.539202250163193
Namibia,NAM,138.289,365.7136875560001,423.072,183.25,10295.99345596847,848.1291297222119,200.75933763277524,232.24626853777627,100.59559747040147
New Caledonia,NCL,NA,137.25911128599992,286.554,-57.805,1378.9342102270436,137.60382036583565,32.571987996017384,68.00006385689886,0
Niger,NER,1.07,202.91592414900023,320.095,-31.352,7948.136472737964,694.764171767351,164.45655507750467,259.4265860967459,0
Nigeria,NGA,1.411,136.69630236600005,149.898,-57.981,4968.967734133044,425.35365867544687,100.68480822410771,110.40865711915181,0
Nicaragua,NIC,3.193,313.8536787405466,399.675,155.92,5764.071234904437,471.809012864229,111.6811834334942,142.21965340700157,55.482268876306364
Netherlands,NLD,120.369,182.01837681463624,190.525,174.852,969.2655456341457,89.23953766417871,21.123753263826163,22.11094496698185,20.292109758021372
Norway,NOR,20.876,28.701015133568447,34.304,21.15,170.62609317857704,15.805150161442986,3.741212707358736,4.471517730681976,2.7569740775580107
Nepal,NPL,38.952,316.0709073210009,380.403,149.869,5441.055385109328,518.9356296525524,122.8364521770595,147.83805516215259,58.24450253284596
New Zealand,NZL,0.918,-52.58178670493454,-37.757,-56.702,-343.17834946439456,-30.90305566932963,0,0,0
Oman,OMN,78.742,87.18526539523022,110.34,78.734,3702.1344116870578,214.6342366781667,50.805738983329455,64.29905132063074,45.88097124877221
Pakistan,PAK,12.808,376.77343487500053,440.758,148.316,8382.056393214694,753.9628415052138,178.46938084757036,208.77728496067417,70.25403004600058
Panama,PAN,168.683,184.67157225297726,218.035,164.783,2332.3007357031734,188.41314112225808,44.59898391345691,52.65633658116443,39.79585411598692
Peru,PER,605.071,624.4406330681159,631.476,622.434,8732.214138835348,661.9652309608034,156.69276840797272,158.45817713788662,156.18930725750087
Philippines,PHL,45.342,142.02185621738158,222.471,121.27,2956.940583330868,230.96083562193485,54.67038302735658,85.63887549537596,46.68221867525362
