location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Latin America and Caribbean,2020-04-20,27352.868,28935.457,27352.868,26519.399,26519.399,6839,FALSE
North America,2020-04-20,85961.979,85961.979,85961.979,85961.979,85961.979,47430,FALSE
Oceania,2020-04-20,-937.79,-363.128,-677.745,-937.79,-1076.374,79,FALSE
Africa,2020-04-20,-5177.466,6844.242,6844.242,-5177.466,-90992.267,1159,FALSE
Europe,2020-04-27,169455.874,169470.929,169464.844,169455.874,169428.825,127237,FALSE
Asia,2020-04-27,-154379.86,-154379.86,-154379.86,-213062.829,-280094.051,17623,FALSE
Latin America and Caribbean,2020-04-27,37156.201,38890.929,37156.201,36267.454,36267.454,11891,FALSE
North America,2020-04-27,101677.461,101677.461,101677.461,101677.461,101677.461,62758,FALSE
Oceania,2020-04-27,-1249.641,-636.346,-975.326,-1249.641,-1372.969,102,FALSE
Africa,2020-04-27,-6304.49,3475.185,3475.185,-6304.49,-103985.552,1461,FALSE
Europe,2020-05-04,181520.76,181535.82,181530.144,181520.76,181492.148,141885,FALSE
Asia,2020-05-04,-147171.802,-147171.802,-147171.802,-210356.069,-274924.757,20135,FALSE
Latin America and Caribbean,2020-05-04,55973.607,57508.913,55973.607,54971.631,54971.631,19469,FALSE
North America,2020-05-04,115359.342,115359.342,115359.342,115359.342,115359.342,77130,FALSE
Oceania,2020-05-04,-1483.26,-812.751,-1173.54,-1483.26,-1583.448,116,FALSE
Africa,2020-05-04,-3669.517,5015.503,5015.503,-3669.517,-112312.499,1842,FALSE
Europe,2020-05-11,193706.431,193721.573,193715.653,193706.431,193675.007,153420,FALSE
Asia,2020-05-11,-138441.559,-138441.559,-138441.559,-204608.179,-267112.467,22568,FALSE
Latin America and Caribbean,2020-05-11,76574.259,77920.941,76574.259,75434.155,75217.846,29396,FALSE
North America,2020-05-11,127053.824,127053.824,127053.824,127053.824,127053.824,89930,FALSE
Oceania,2020-05-11,-1835.264,-1104.435,-1498.379,-1835.264,-1871.459,118,FALSE
Africa,2020-05-11,-406.894,7412.294,7412.294,-406.894,-115667.132,2344,FALSE
Europe,2020-05-18,202825.281,202840.044,202833.655,202825.281,202788.304,162610,FALSE
Asia,2020-05-18,-120728.435,-120728.435,-120728.435,-193566.438,-257598.446,25178,FALSE
Latin America and Caribbean,2020-05-18,98666.541,99837.588,98666.541,97495.365,97053.58,41129,FALSE
North America,2020-05-18,135858.105,135858.105,135858.105,135858.105,135858.105,100748,FALSE
Oceania,2020-05-18,-2174.754,-1381.584,-1807.536,-2174.754,-2212.647,120,FALSE
Africa,2020-05-18,3284.957,10259.5,10259.5,3284.957,-115657.843,2831,FALSE
Europe,2020-05-25,209522.502,209537.381,209530.995,209522.502,209483.023,167492,FALSE
Asia,2020-05-25,-79897.347,-79897.347,-79897.347,-175637.471,-258266.168,27850,FALSE
Latin America and Caribbean,2020-05-25,121803.946,122899.404,121803.946,120615.777,119980.827,55174,FALSE
North America,2020-05-25,143125.186,143125.186,143125.186,143125.186,143125.186,109074,FALSE
Oceania,2020-05-25,-2584.899,-1728.01,-2193.367,-2584.899,-2620.139,123,FALSE
Africa,2020-05-25,7141.331,12716.705,12716.705,7141.331,-118252.251,3479,FALSE
Europe,2020-06-01,219553.133,219566.492,219561.831,219553.133,219515.954,172991,FALSE
Asia,2020-06-01,-19517.345,-19517.345,-19517.345,-132226.251,-244294.64,31349,FALSE
Latin America and Caribbean,2020-06-01,145614.014,146435.761,145614.014,144343.409,144000.12,69407,FALSE
North America,2020-06-01,148869.668,148869.668,148869.668,148869.668,148869.668,116320,FALSE
Oceania,2020-06-01,-3091.264,-2158.713,-2683.104,-3091.264,-3091.911,124,FALSE
Africa,2020-06-01,20096.052,26508.114,26508.114,20096.052,-114667.432,4343,FALSE
Europe,2020-06-08,228798.796,228811.792,228806.502,228798.796,228762.629,177254,FALSE
Asia,2020-06-08,56252.842,56252.842,56252.842,-75500.446,-217329.121,35741,FALSE
Latin America and Caribbean,2020-06-08,170719.043,171633.751,170719.043,169282.863,169135.769,87070,FALSE
North America,2020-06-08,153878.749,153878.749,153878.749,153878.749,153878.749,122165,FALSE
Oceania,2020-06-08,-3530.041,-2533.46,-3101.689,-3530.041,-3530.041,124,FALSE
Africa,2020-06-08,35369.702,40339.545,40339.545,35369.702,-110028.578,5363,FALSE
Asia,2020-06-15,127544.998,127544.998,127544.998,-4631.157,-169688.426,41250,FALSE
Latin America and Caribbean,2020-06-15,195939.075,197502.001,195939.075,194290.85,194290.85,104081,FALSE
North America,2020-06-15,159126.631,159126.631,159126.631,159126.631,159126.631,127270,FALSE
Oceania,2020-06-15,-4079.18,-3017.466,-3628.125,-4079.18,-4079.18,124,FALSE
Africa,2020-06-15,58101.857,58438.537,58438.537,58101.857,-90183.099,6761,FALSE
Europe,2020-06-15,235750.667,235764.577,235757.569,235750.667,235715.226,180691,FALSE
Asia,2020-06-22,212252.164,212252.164,212252.164,62179.448,-107222.39,49145,FALSE
Latin America and Caribbean,2020-06-22,221056.345,223220.419,221056.345,219284.298,219284.298,123260,FALSE
North America,2020-06-22,164966.512,164966.512,164966.512,164966.512,164966.512,131541,FALSE
Oceania,2020-06-22,-4690.754,-3564.647,-4221.265,-4690.754,-4690.754,124,FALSE
Africa,2020-06-22,81379.325,81379.325,81379.325,79202.897,-69798.495,8338,FALSE
Europe,2020-06-22,246628.465,246642.765,246634.201,246628.465,246593.67,184926,FALSE
Asia,2020-06-29,309049.872,309049.872,309049.872,130937.449,-36057.014,55857,FALSE
Latin America and Caribbean,2020-06-29,247220.278,249707.464,247220.278,245016.01,245016.01,141898,FALSE
North America,2020-06-29,171776.793,171776.793,171776.793,171776.793,171776.793,135513,FALSE
Oceania,2020-06-29,-5279.129,-4106.57,-4749.557,-5279.129,-5279.129,126,FALSE
Africa,2020-06-29,107577.276,107577.276,107577.276,101100.274,-52359.324,9877,FALSE
Europe,2020-06-29,255912.672,255928.199,255918.661,255912.672,255879.164,187593,FALSE
Asia,2020-07-06,389928.146,389928.146,389928.146,189374.817,34321.808,63353,FALSE
Latin America and Caribbean,2020-07-06,279690.212,282787.042,279690.212,276985.757,276985.757,160389,FALSE
North America,2020-07-06,181304.275,181304.275,181304.275,181304.275,181304.275,139256,FALSE
Oceania,2020-07-06,-5858.021,-4672.881,-5290.654,-5858.021,-5858.021,128,FALSE
Africa,2020-07-06,133707.008,133707.008,133707.008,123770.998,-37088.35,11610,FALSE
Europe,2020-07-06,264873.916,264890.021,264879.795,264873.916,264840.171,190239,FALSE
Asia,2020-07-13,475331.584,475331.584,475331.584,254313.095,94540.464,71514,FALSE
Latin America and Caribbean,2020-07-13,312965.789,316453.308,312965.789,309537.556,309537.556,179675,FALSE
North America,2020-07-13,192358.556,192358.556,192358.556,192358.556,192358.556,144816,FALSE
Oceania,2020-07-13,-6483.557,-5294.089,-5845.515,-6483.557,-6483.557,130,FALSE
Africa,2020-07-13,164457.199,164457.199,164457.199,148937.876,-14011.859,13463,FALSE
Europe,2020-07-13,273612.75,273628.776,273618.597,273612.75,273578.352,192722,FALSE
Asia,2020-07-20,560828.57,560828.57,560828.57,321451.251,158892.567,81373,FALSE
Latin America and Caribbean,2020-07-20,346042.431,350694.516,346042.431,341835.103,341835.103,200326,FALSE
North America,2020-07-20,204558.038,204558.038,204558.038,204558.038,204558.038,150494,FALSE
Oceania,2020-07-20,-7019.976,-5827.085,-6361.194,-7019.976,-7042.312,148,FALSE
Africa,2020-07-20,195283.901,195283.901,195283.901,174536.437,6572.084,15423,FALSE
Europe,2020-07-20,282462.772,282478.484,282467.981,282462.772,282425.51,194928,FALSE
Asia,2020-07-27,645918.885,645918.885,645918.885,394026.924,226765.383,91158,FALSE
Latin America and Caribbean,2020-07-27,378404.088,382851.194,378404.088,373504.213,373504.213,221092,FALSE
North America,2020-07-27,216637.719,216637.719,216637.719,216637.719,216637.719,157642,FALSE
Oceania,2020-07-27,-7476.304,-6299.333,-6809.485,-7476.304,-7526.518,189,FALSE
Africa,2020-07-27,224042.737,224042.737,224042.737,199220.781,23351.011,18175,FALSE
Europe,2020-07-27,297608.338,297623.956,297612.631,297608.338,297570.95,196971,FALSE
Asia,2020-08-03,725776.708,725776.708,725776.708,463127.129,290190.94,101022,FALSE
Latin America and Caribbean,2020-08-03,409199.222,413184.565,409199.222,403773.576,403773.576,241675,FALSE
Africa,2020-08-03,243883.185,243883.185,243883.185,216031.213,34864.078,20626,FALSE
North America,2020-08-03,228038.001,228038.001,228038.001,228038.001,228038.001,164951,FALSE
Oceania,2020-08-03,-7994.691,-6821.577,-7340.091,-7994.691,-8079.905,257,FALSE
Europe,2020-08-03,307706.521,307721.94,307709.238,307706.521,307668.55,199091,FALSE
Asia,2020-08-10,810084.108,810084.108,810084.108,557194.207,354952.502,111329,FALSE
Africa,2020-08-10,262834.123,262834.123,262834.123,232352.942,44320.715,23598,FALSE
North America,2020-08-10,239777.082,239777.082,239777.082,239777.082,239777.082,172302,FALSE
Oceania,2020-08-10,-8425.261,-7259.882,-7780.673,-8425.261,-8532.749,357,FALSE
Latin America and Caribbean,2020-08-10,438092.629,441521.327,438092.629,431993.557,431993.557,263405,FALSE
Europe,2020-08-10,324790.73,324808.822,324792.943,324790.73,324753.084,201301,FALSE
Asia,2020-08-17,903598.208,903598.208,903598.208,667888.229,432134.401,121841,FALSE
Africa,2020-08-17,282320.553,282320.553,282320.553,250153.142,52289.396,25897,FALSE
North America,2020-08-17,250577.963,250577.963,250577.963,250577.963,250577.963,179416,FALSE
Oceania,2020-08-17,-9021.51,-7865.727,-8378.872,-9021.51,-9134.152,464,FALSE
Latin America and Caribbean,2020-08-17,465062.483,467985.468,465062.483,458332.358,458332.358,283462,FALSE
Europe,2020-08-17,337450.121,337470.989,337451.596,337450.121,337412.081,203581,FALSE
Asia,2020-08-24,998065.243,998065.243,998065.243,776646.722,506221.863,131838,FALSE
Africa,2020-08-24,297587.591,297587.591,297587.591,262955.93,55727.08,28005,FALSE
North America,2020-08-24,259324.645,259324.645,259324.645,259324.645,259324.645,186098,FALSE
Oceania,2020-08-24,-9705.172,-8555.543,-9060.598,-9705.172,-9840.859,552,FALSE
Latin America and Caribbean,2020-08-24,490057.888,492320.293,490057.888,482647.939,482647.939,303531,FALSE
Europe,2020-08-24,347892.501,347916.537,347893.42,347892.501,347855.34,205846,FALSE
Asia,2020-08-31,1085586.614,1085586.614,1085586.614,883166.249,573547.547,142709,FALSE
Africa,2020-08-31,308251.406,308251.406,308251.406,275857.866,57093.965,29812,FALSE
North America,2020-08-31,267150.526,267150.526,267150.526,267150.526,267150.526,192530,FALSE
Oceania,2020-08-31,-10242.921,-9006.481,-9579.459,-10242.921,-10387.103,686,FALSE
Latin America and Caribbean,2020-08-31,512722.876,514568.267,512722.876,504788.327,504788.327,321777,FALSE
Europe,2020-08-31,356941.554,356968.541,356942.338,356941.554,356905.071,208061,FALSE
Asia,2020-09-07,1181238.735,1181238.735,1181238.735,997369.975,632209.478,154116,FALSE
Africa,2020-09-07,316784.916,316784.916,316784.916,285895.475,57374.416,31521,FALSE
North America,2020-09-07,274043.408,274043.408,274043.408,274043.408,274043.408,198249,FALSE
Oceania,2020-09-07,-10801.73,-9455.448,-10077.088,-10801.73,-10865.286,801,FALSE
Europe,2020-09-07,373012.339,373041.241,373013.486,373012.339,372974.934,210631,FALSE
Latin America and Caribbean,2020-09-07,531773.049,532944.084,531773.049,522974.923,522974.923,343967,FALSE
Asia,2020-09-14,1286710.61,1286710.61,1286710.61,1112620.431,678968.091,166517,FALSE
Africa,2020-09-14,324803.058,324803.058,324803.058,291948.061,55725.86,32793,FALSE
North America,2020-09-14,281011.289,281011.289,281011.289,281011.289,281011.289,203511,FALSE
Oceania,2020-09-14,-11428.51,-9978.969,-10623.219,-11428.51,-11428.51,850,FALSE
Europe,2020-09-14,389757.16,389788.143,389758.449,389757.16,389720.139,213301,FALSE
Latin America and Caribbean,2020-09-14,549053.892,549826.92,549053.892,539716.406,539716.406,359325,FALSE
Asia,2020-09-21,1384105.748,1384105.748,1384105.748,1225317.859,723941.887,179251,FALSE
Africa,2020-09-21,333380.5,333380.5,333380.5,298772.363,57642.404,34082,FALSE
North America,2020-09-21,288921.971,288921.971,288921.971,288921.971,288921.971,208938,FALSE
Oceania,2020-09-21,-11812.932,-10323.555,-10925.077,-11812.932,-11812.932,890,FALSE
Europe,2020-09-21,403447.794,403480.608,403448.858,403447.794,403411.422,217058,FALSE
Latin America and Caribbean,2020-09-21,566361.908,566633.4,566361.908,556416.434,556149.933,373729,FALSE
